"Ticket ID","Epic/Area","Priority","Title","Description","Acceptance Criteria","Notes/Dependencies","Source","Original Status","Completion Status","Hunter Development Notes","Status Update Notes","Merged From"
"ADMIN-001","Admin / Templates","P1","Admin: create Templates management page (list templates A–Z by vendor)","Add an Admin section page for managing vendor templates; list templates A–Z by vendor and provide entrypoint to view/edit templates.","- Admin nav includes Templates.; - Page lists templates sorted A–Z by vendor (and/or template name).; - Users can open a template to view/edit mappings (CRUD scope TBD).; - Access controlled to admin role(s).","Confirm whether non-admins can view templates (ASSUMED: admin-only).","2026-03-02 Meeting (Summary+Transcript)","In Progress","Completed, for review","Match deposit upload UI","Admin Templates management page, detail view, and integration tests are present.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"UAT-001","QA / UAT","P0","UAT: Rob to self-test deposit matching (create test instances/deposits) and report issues","Rob to run hands-on testing of deposit matching and reconciliation by creating additional instances/deposits and attempting end-to-end matching; report any blockers/bugs found.","- Rob completes at least 2–3 test runs (including creating a new instance + uploading a deposit).; - Issues are documented with screenshots/steps and entered into backlog.; - Confirm whether any workflow 'trip-ups' require UI/logic changes.","","2026-03-02 Meeting (Summary+Transcript)","","Waiting on Rob / External","","This is a client-run testing task rather than an internal implementation task.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"UAT-002","QA / Test Data","P0","Provide updated Telarus deposit files for template variation testing","Acquire and upload updated Telarus deposit files so templates can be tested against real-world variations.","- Updated deposit file(s) are provided and available in the shared testing location.; - At least one variation is included (different columns / products).; - Files are used to validate template evolution and matching.","Owner: Rob (per meeting).","2026-03-02 Meeting (Summary+Transcript)","","Waiting on Rob / External","","Backlog item explicitly depends on Rob providing updated Telarus files.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"HUNTER-TASK-001","Backlog / Process","P3","Backlog intake: Update log with items discussed from meetings & emails ","Process task: extract action items/requirements from the Friday PDF and the second email, and ensure all March 2 Fathom notes are captured in the shared Google Sheet backlog.","- Friday PDF reviewed and any actionable items are converted into tickets.; - Second email reviewed and converted into tickets.; - All March 2 Fathom notes items are represented in the shared backlog sheet.","","2026-03-02 Meeting (Summary+Transcript)","Completed and will be ongoing to keep log up to date","Ongoing","","Process/backlog maintenance is continuous rather than a one-time completed engineering deliverable.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"MTG-0303-001","Admin / Templates","P1","Template Management UI v2: back-office page (dropdown select, combined list+edit, test-only upload, record nav)","","",,"2026-03-06 Meeting Backlog","","In Progress","","Template management capability exists, but the full v2 back-office workflow described in the ticket is not clearly complete.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0303-002","Matching Logic / Revenue Schedules","P0","Fix variance/Flex logic: tolerance handling, correct -flex schedule creation, date sync, auto-delete on unmatch","","",,"2026-03-06 Meeting Backlog","","In Progress","","Flex/variance logic exists, but the ticket bundles multiple cleanup items that are not clearly all closed.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0303-003","QA / Test Data","P2","Cleanup: remove orphaned test schedules created during Rob Feb deposit testing","","",,"2026-03-06 Meeting Backlog","","Not Started","","No clear evidence of a completed cleanup pass for the cited orphaned test schedules.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0303-004","Reconciliation UI / Matching","P1","Reconciliation QoL: sync matched/unmatched views, auto-select bottom row, fix refresh states","","",,"2026-03-06 Meeting Backlog","","In Progress","","Some top/bottom state syncing exists, but auto-select/refresh behavior does not appear comprehensively closed.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0303-005","Reconciliation UI / Matching","P1","Spec: draft standard reconciliation column layout (top/bottom, frozen columns, widths) and share with StrategixAI","","",,"2026-03-06 Meeting Backlog","","Completed, for review","","Multiple reconciliation column/frozen-column planning documents exist, which satisfies the spec/draft deliverable.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0303-007","Reconciliation UI / Matching","P1","Add Vendor Name + Distributor Name to deposit line item fields (reconciliation grids)","","",,"2026-03-06 Meeting Backlog","","Completed, for review","","Vendor Name and Distributor Name fields are present in the reconciliation grids.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0303-008","Revenue Schedules / Data Model","P1","Revenue schedule details: show human Account ID (not UUID) + fix formatting","","",,"2026-03-06 Meeting Backlog","","In Progress","","Revenue schedule detail does not clearly show a dedicated human-readable Account ID replacement for the underlying UUID-based field.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0303-010","Deposit Templates / Mapping","P0","Multi-vendor upload: filter records by selected vendor/distributor; jump to first row; renumber record list","","",,"2026-03-06 Meeting Backlog","","In Progress","","Multi-vendor active-template filtering exists, but jump-to-row and record renumbering are not clearly complete.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0303-011","Commission Logic / Opportunities","P1","SME feature bugfix: save/trigger not firing; ensure product pop-up appears; notify Rob to test","","",,"2026-03-06 Meeting Backlog","","Completed, for review","","SME workflow UI is implemented; remaining item is effectively re-test/confirmation.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0303-012","Commission Logic / Opportunities","P2","Validate SME commission logic vs Robâ€™s SME commission report; identify gaps and required rule updates","","",,"2026-03-06 Meeting Backlog","","Waiting on Rob / SME report","","Validation against Robs SME commission report requires external reference data.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0303-013","Commission Logic / Opportunities","P1","SME commission guidance: show note in commission section when SME role selected (Vâ€“AK excluding AA)","","",,"2026-03-06 Meeting Backlog","","In Progress","","Generic SME guidance exists, but the narrower role-based business rule in this ticket is not clearly implemented.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0303-014","Matching Logic / Revenue Schedules","P0","Many-to-one/bundle matching: enforce commission-rate equality; if different, prompt to split schedule into individual schedules","","",,"2026-03-06 Meeting Backlog","","Superseded by MTG-0305-001","","The later March 5 bundle-conversion ticket expands and effectively replaces this earlier rate-conflict ticket.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0303-015","Reconciliation / Workflow","P3","AI experiment: create secondary concatenated â€œOther IDsâ€ field (do not replace structured ID fields)","","",,"2026-03-06 Meeting Backlog","","Not Started","","No repo evidence of the proposed AI/concatenated Other IDs experiment being implemented.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0303-016","Reconciliation / Workflow","P3","AI matching strategy update: hard-gate Vendor/Distributor/Dates; fuzzy-match other fields with confidence score","","",,"2026-03-06 Meeting Backlog","","Not Started","","No repo evidence of the revised AI matching strategy being implemented as described.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0305-001","Matching Logic / Revenue Schedules","P0","Many-to-one bundle conversion workflow: replace bundled product/schedule with individual products + schedule series","When a deposit line item maps to multiple schedules with different commission rates, block the match and offer a remediation workflow that replaces the bundled product/schedule setup with separate products and schedule series built from the deposit data.","Auto-validate rate conflict before match; plain-language prompt explains why bundle cannot be matched; on confirm, create separate opportunity products from deposit line data; create schedule series that mirrors original bundle timeline; remove/deactivate original bundled product + schedules; write audit trail.","Expands MTG-0303-014. ASSUMED: original bundle removal should be soft-delete/audited, not hard delete.","2026-03-06 Meeting Backlog","","Completed, for review","","Bundle rip-and-replace workflow is implemented with dedicated route/tests covering mixed-rate replacement behavior.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0305-002","Matching Logic / Revenue Schedules","P0","Commission-rate discrepancy prompt with optional apply-to-future update","If received commission rate differs from expected rate during matching, show a prompt and let the user decide whether to update future schedules for that product instead of silently adjusting only the current match.","Prompt shows expected vs received rate; works for over- and under-rate scenarios; user can keep current rate and flag/investigate or update future schedules in-flow; future schedule update does not require leaving reconciliation; current actuals still save correctly.","ASSUMED: future-only change, not retroactive to reconciled schedules.","2026-03-06 Meeting Backlog","","Completed, for review","","Rate discrepancy prompt and apply-to-future workflow exist in the reconciliation UI and API tests.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0305-003","Reconciliation / Undo Logic","P0","Unmatch must fully reverse usage + commission adjustments, not just actuals","Fix unmatch so it restores all pre-match values, including expected usage adjustment and commission adjustment, not only actual usage/commission.","Unmatch clears actual usage, actual commission, expected usage adjustment, and commission adjustment; works for one-to-one and multi-item scenarios; rematch after unmatch behaves correctly; stale adjustments no longer distort confidence/matching.","Expands prior 03-03 unmatch/flex cleanup behavior.","2026-03-06 Meeting Backlog","","Completed, for review","","Unmatch regression tests cover rollback of within-tolerance and apply-to-future adjustments.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0305-004","Reconciliation UI / Matching","P1","Live pre-match preview in revenue schedule grid with temporary values + cell highlighting","As users select deposit lines and candidate schedules, temporarily preview resulting Actual Usage / Actual Commission in the bottom schedule grid before Match is clicked.","Previewed values appear in-place without saving; deselecting rows reverts preview; changed cells are highlighted; temporary preview can include adjustment-related cells where relevant; interaction does not reload full page.","Rob preferred replacing the displayed value in-cell vs showing a side-by-side delta.","2026-03-06 Meeting Backlog","","In Progress","","Preview behavior exists, but live in-grid temporary values and highlighting are not clearly complete in the bottom schedule grid.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0305-005","Reconciliation UI / Modals","P1","Matching modal UX cleanup: auto-validation, plain-language errors, clearer sections, use schedule numbers","Clean up matching/variance pop-ups so users do not have to hunt for actions or interpret internal IDs.","Validation runs automatically; no extra manual preview step for rate conflict; modal uses clear sections/dividers/contrast; copy is plain-language; previews show schedule numbers/names instead of raw IDs; buttons/actions are clearly labeled.","Depends on Robâ€™s final wording for matching + variance modal actions.","2026-03-06 Meeting Backlog","","In Progress","","Auto-validation exists, but modal UX cleanup is still incomplete, including raw IDs and additional usability findings.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0305-006","Reconciliation UI / Columns","P1","Frozen-column lock behavior v2: lock in modal, move locked columns left, configure top/bottom separately","Implement the final frozen-column behavior in the column-selection modal.","Users can mark columns locked via checkbox/lock icon; locked columns pin left and override normal order; users can still reorder columns; top and bottom tables can have different locked columns; preference persists per user.","Expands MTG-0303-006 with final agreed behavior.","2026-03-06 Meeting Backlog","","Not Started","","Current frozen-column plan explicitly states the production implementation is not yet complete.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0305-007","Reconciliation UI / Workflow","P1","Swap Match button to Unmatch in matched view","In matched context, replace Match with Unmatch so the next available action is obvious.","When viewing matched items, primary action reads Unmatch; user does not need to reveal a hidden second state; no duplicate/conflicting Match + Unmatch buttons for the same matched row; works for multi-item matched selections.","This is a UX clarification/finalization of the earlier unmatch-button discussion.","2026-03-06 Meeting Backlog","","Completed, for review","","Matched-context primary action already switches between Match and Unmatch in the live reconciliation view.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0305-008","Revenue Schedules / UI & Data Binding","P1","Fix revenue schedule row-update + percent formatting bugs in commission-rate displays","Resolve the bad row-update behavior in revenue schedules and fix remaining percent-formatting issues where rates are rendering on a 0â€“1 scale instead of 0â€“100.","Row updates reflect saved values immediately; commission-rate fields render consistently as percentages; SME scenarios display 8 vs 16 correctly; no stale row state after save/update.","Transcript confirms both a row-update bug and a remaining percent-formatting issue.","2026-03-06 Meeting Backlog","","In Progress","","Percent-formatting fixes are documented, but the row-refresh/stale-row portion is not clearly proven closed.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
"MTG-0305-009","QA / Test Data","P2","Purge obsolete reconciliation test schedules from prior sessions","Delete stale test schedules and temporary overage artifacts so current reconciliation testing is clean.","Remove the $29.90 and $2.40 schedules and other obsolete prior-session artifacts called out in meeting; preserve currently valid test schedules; document what was removed.","Pure UAT cleanup ticket.","2026-03-06 Meeting Backlog","","Not Started","","No clear repo evidence of the requested purge of obsolete reconciliation test schedules.","Live_Backlog_Commissable_CRM - 03_06 Tickets.csv"
