Ticket ID,Epic/Area,Priority,Title,Description,Acceptance Criteria,Notes/Dependencies,Completion Status,Hunter Development Notes,Source
REC-004,Reconciliation UI / Matching,P1,"Reconciliation QoL: sync matched/unmatched views, auto-select bottom row, fix refresh states",,,,Completed,2026-03-06 Meeting Backlog,"Completed, for review"
REC-005,Reconciliation UI / Matching,P1,"Spec: draft standard reconciliation column layout (top/bottom, frozen columns, widths) and share with StrategixAI",,,,Pending,2026-03-06 Meeting Backlog,Waiting for any UI drafts/specs
REC-006,Reconciliation UI / Matching,P1,Add Vendor Name + Distributor Name to deposit line item fields (reconciliation grids),,,,Completed,2026-03-06 Meeting Backlog,"Completed, for review"
REC-007,Reconciliation / Undo Logic,P0,"Unmatch must fully reverse usage + commission adjustments, not just actuals","Fix unmatch so it restores all pre-match values, including expected usage adjustment and commission adjustment, not only actual usage/commission.","Unmatch clears actual usage, actual commission, expected usage adjustment, and commission adjustment; works for one-to-one and multi-item scenarios; rematch after unmatch behaves correctly; stale adjustments no longer distort confidence/matching.",Expands prior 03-03 unmatch/flex cleanup behavior.,,2026-03-06 Meeting Backlog,"Completed, for review"
REC-008,Reconciliation UI / Matching,P1,Live pre-match preview in revenue schedule grid with temporary values + cell highlighting,"As users select deposit lines and candidate schedules, temporarily preview resulting Actual Usage / Actual Commission in the bottom schedule grid before Match is clicked.",Previewed values appear in-place without saving; deselecting rows reverts preview; changed cells are highlighted; temporary preview can include adjustment-related cells where relevant; interaction does not reload full page.,Rob preferred replacing the displayed value in-cell vs showing a side-by-side delta.,In Progress,2026-03-06 Meeting Backlog,In Progress
REC-009,Reconciliation UI / Modals,P1,"Matching modal UX cleanup: auto-validation, plain-language errors, clearer sections, use schedule numbers",Clean up matching/variance pop-ups so users do not have to hunt for actions or interpret internal IDs.,Validation runs automatically; no extra manual preview step for rate conflict; modal uses clear sections/dividers/contrast; copy is plain-language; previews show schedule numbers/names instead of raw IDs; buttons/actions are clearly labeled.,Depends on Rob's final wording for matching + variance modal actions.,In Progress,2026-03-06 Meeting Backlog,In Progress
REC-010,Reconciliation UI / Columns,P1,"Frozen-column lock behavior v2: lock in modal, move locked columns left, configure top/bottom separately",Implement the final frozen-column behavior in the column-selection modal.,Users can mark columns locked via checkbox/lock icon; locked columns pin left and override normal order; users can still reorder columns; top and bottom tables can have different locked columns; preference persists per user.,Expands MTG-0303-006 with final agreed behavior.,Might need UI tweaks. Feature ready to test behavior. ,2026-03-06 Meeting Backlog,"Completed, for review"
REC-011,Reconciliation UI / Workflow,P1,Swap Match button to Unmatch in matched view,"In matched context, replace Match with Unmatch so the next available action is obvious.","When viewing matched items, primary action reads Unmatch; user does not need to reveal a hidden second state; no duplicate/conflicting Match + Unmatch buttons for the same matched row; works for multi-item matched selections.",This is a UX clarification/finalization of the earlier unmatch-button discussion.,Completed,2026-03-06 Meeting Backlog,"Completed, for review"
REV-001,Revenue Schedules / Data Model,P1,Revenue Schedule detail: consolidate Vendor/Distributor/Customer ID fields into 'Other IDs',Simplify the Revenue Schedule detail page and underlying model by replacing redundant Vendor/Distributor/Customer ID fields with a single 'Other IDs' field (to align with Opportunity detail page).,- Revenue Schedule detail page shows a single 'Other IDs' field (and retains House ID if needed).; - Data model no longer requires separate Vendor/Distributor/Customer ID fields on Revenue Schedule.; - Existing screens that expect the separate fields are updated.; - Confirm how existing data migrates into 'Other IDs' (concatenate vs choose precedence).,Dependency: confirm whether House ID remains separate (seems to be kept). Migration rules are TBD → needs decision.,Completed,,2026-03-02 Meeting (Summary+Transcript)
REV-002,Matching Logic / Revenue Schedules,P1,Revenue schedule visibility: confirm date-filter fix + confidence threshold; add regression tests,"Follow-up after fixing missing revenue schedules: ensure schedule filtering by date is correct, confidence threshold changes are intentional/configurable, and schedule display ordering remains oldest-first (FIFO).",- Revenue schedules are not incorrectly filtered out due to date logic.; - Confidence threshold (used for showing matches) is set intentionally or made configurable.; - Suggested schedules display in oldest-first order where required.; - Regression tests cover the original missing-schedules scenario.,Meeting notes indicate a date filter bug was resolved and confidence threshold temporarily lowered to unblock testing.,"Completed, for review",,2026-03-02 Meeting (Summary+Transcript)
REV-003,Matching Logic / Revenue Schedules,P0,"Fix variance/Flex logic: tolerance handling, correct -flex schedule creation, date sync, auto-delete on unmatch",,,,Completed,2026-03-06 Meeting Backlog,In Progress
REV-004,Reconciliation / Workflow,P3,AI matching strategy update: hard-gate Vendor/Distributor/Dates; fuzzy-match other fields with confidence score,,,,,2026-03-06 Meeting Backlog,"Completed, for review"
REV-005,Matching Logic / Revenue Schedules,P0,Many-to-one bundle conversion workflow: replace bundled product/schedule with individual products + schedule series,"When a deposit line item maps to multiple schedules with different commission rates, block the match and offer a remediation workflow that replaces the bundled product/schedule setup with separate products and schedule series built from the deposit data.","Auto-validate rate conflict before match; plain-language prompt explains why bundle cannot be matched; on confirm, create separate opportunity products from deposit line data; create schedule series that mirrors original bundle timeline; remove/deactivate original bundled product + schedules; write audit trail.","Expands MTG-0303-014. ASSUMED: original bundle removal should be soft-delete/audited, not hard delete.",Completed,2026-03-06 Meeting Backlog,"Completed, for review"
REV-006,Matching Logic / Revenue Schedules,P0,Commission-rate discrepancy prompt with optional apply-to-future update,"If received commission rate differs from expected rate during matching, show a prompt and let the user decide whether to update future schedules for that product instead of silently adjusting only the current match.",Prompt shows expected vs received rate; works for over- and under-rate scenarios; user can keep current rate and flag/investigate or update future schedules in-flow; future schedule update does not require leaving reconciliation; current actuals still save correctly.,"ASSUMED: future-only change, not retroactive to reconciled schedules.",Completed,2026-03-06 Meeting Backlog,"Completed, for review"
REV-007,Revenue Schedules / Data Model,P1,Revenue schedule details: show human Account ID (not UUID) + fix formatting,,,,Completed,2026-03-06 Meeting Backlog,"Completed, for review"
REV-008,Revenue Schedules / UI & Data Binding,P1,Fix revenue schedule row-update + percent formatting bugs in commission-rate displays,Resolve the bad row-update behavior in revenue schedules and fix remaining percent-formatting issues where rates are rendering on a 0-1 scale instead of 0-100.,Row updates reflect saved values immediately; commission-rate fields render consistently as percentages; SME scenarios display 8 vs 16 correctly; no stale row state after save/update.,Transcript confirms both a row-update bug and a remaining percent-formatting issue.,,2026-03-06 Meeting Backlog,Completed
PROD-001,Products / UI,P1,Redesign Product Creation form (2-column layout; required Part # + Description; status defaults Active),Update the Product Creation form UI and validation: two-column layout; require Part Number and Description; move House Part Number above divider; remove divider; Status field removed and defaults to Active.,- Form renders in 2 columns (responsive).; - Part Number and Description are required; validation prevents save without them.; - House Part Number is positioned above the divider (or divider removed per design).; - Status is not user-editable on the form and defaults to Active on create.; - Layout matches the agreed field ordering.,,In Progress,Remove Active Status. Default to active,2026-03-02 Meeting (Summary+Transcript)
OPP-COM-001,Commission Logic / Opportunities,P1,SME feature bugfix: save/trigger not firing; ensure product pop-up appears; notify Rob to test,,,,Completed,2026-03-06 Meeting Backlog,"Completed, for review"
OPP-COM-002,Commission Logic / Opportunities,P2,Validate SME commission logic vs Rob's SME commission report; identify gaps and required rule updates,,,,In Progress,2026-03-06 Meeting Backlog,Waiting on Rob / SME report
OPP-COM-003,Commission Logic / Opportunities,P1,SME commission guidance: show note in commission section when SME role selected ( excluding AA),,,,In Progress,2026-03-06 Meeting Backlog,In Progress
GLOBAL-001,UI / Components,P2,Make auto-expanding textarea behavior global,"Apply the auto-expanding textarea behavior to all multi-line text inputs across the app (e.g., description fields).",- All designated textarea fields auto-expand vertically as the user types.; - No layout breakage; scrollbars appear only when needed.; - Behavior is consistent across major browsers.,,In Progress,,2026-03-02 Meeting (Summary+Transcript)
ADMIN-001,Admin / Templates,P1,Admin: create Templates management page (list templates A–Z by vendor),Add an Admin section page for managing vendor templates; list templates A–Z by vendor and provide entrypoint to view/edit templates.,- Admin nav includes Templates.; - Page lists templates sorted A–Z by vendor (and/or template name).; - Users can open a template to view/edit mappings (CRUD scope TBD).; - Access controlled to admin role(s).,Confirm whether non-admins can view templates (ASSUMED: admin-only).,"Completed, for review",Match deposit upload UI,2026-03-02 Meeting (Summary+Transcript)
ADMIN-002,Admin / Templates,P1,"Template Management UI v2: back-office page (dropdown select, combined list+edit, test-only upload, record nav)",,,,In Progress,2026-03-06 Meeting Backlog,In Progress
UAT-001,QA / UAT,P0,UAT: Rob to self-test deposit matching (create test instances/deposits) and report issues,Rob to run hands-on testing of deposit matching and reconciliation by creating additional instances/deposits and attempting end-to-end matching; report any blockers/bugs found.,- Rob completes at least 2–3 test runs (including creating a new instance + uploading a deposit).; - Issues are documented with screenshots/steps and entered into backlog.; - Confirm whether any workflow 'trip-ups' require UI/logic changes.,,In Progress,,2026-03-02 Meeting (Summary+Transcript)
UAT-002,QA / Test Data,P0,Provide updated Telarus deposit files for template variation testing,Acquire and upload updated Telarus deposit files so templates can be tested against real-world variations.,- Updated deposit file(s) are provided and available in the shared testing location.; - At least one variation is included (different columns / products).; - Files are used to validate template evolution and matching.,Owner: Rob (per meeting).,In Progress,,2026-03-02 Meeting (Summary+Transcript)
HUNTER-TASK-001,Backlog / Process,P3,Backlog intake: Update log with items discussed from meetings & emails ,"Process task: extract action items/requirements from the Friday PDF and the second email, and ensure all March 2 Fathom notes are captured in the shared Google Sheet backlog.",- Friday PDF reviewed and any actionable items are converted into tickets.; - Second email reviewed and converted into tickets.; - All March 2 Fathom notes items are represented in the shared backlog sheet.,,Completed and will be ongoing to keep log up to date,,2026-03-02 Meeting (Summary+Transcript)
HUNTER-TASK-001,Backlog / Process,P3,Backlog intake: Update log with items discussed from meetings & emails ,"Process task: extract action items/requirements from the Friday PDF and the second email, and ensure all March 2 Fathom notes are captured in the shared Google Sheet backlog.",- Friday PDF reviewed and any actionable items are converted into tickets.; - Second email reviewed and converted into tickets.; - All March 2 Fathom notes items are represented in the shared backlog sheet.,,Ongoing,2026-03-02 Meeting (Summary+Transcript),Ongoing
DATA-001,QA / Test Data,P2,Cleanup: remove orphaned test schedules created during Rob Feb deposit testing,,,,Completed,2026-03-06 Meeting Backlog,In Progress
DATA-002,QA / Test Data,P2,Purge obsolete reconciliation test schedules from prior sessions,Delete stale test schedules and temporary overage artifacts so current reconciliation testing is clean.,Remove the $29.90 and $2.40 schedules and other obsolete prior-session artifacts called out in meeting; preserve currently valid test schedules; document what was removed.,Pure UAT cleanup ticket.,Completed,2026-03-06 Meeting Backlog,Completed
REC-011,Reconciliation / Matching,P0,Bug: Deposit matching returns no suggested matches due to outdated ID field lookup,"When selecting a deposit line on the reconciliation page (e.g. $29.90 deposit), the system shows ""No suggested matches found"" even when a revenue schedule exists with matching Order ID (342021) and Account ID (8310010182127). The matching logic was not updated when ID fields were restructured from separate vendor/house/distributor fields into combined ""Other"" fields. The system is still searching the old fields and returning no results.","- Matching logic checks ""Other - Order ID"" and ""Other - Account ID"" fields when finding revenue schedule matches.; - A deposit line with matching Other ID values correctly surfaces the revenue schedule as a suggested match.; - Existing matches that previously worked are not broken.","Reported by Rob 3/11/26. Root cause: field restructure (vendor/house/distributor IDs merged into combined ""Other"" fields) broke matching logic. Screenshots in FW follow-up email.",Unkown,,
REC-012,Reconciliation / Matching,P1,Bug: Incorrect M:1 match error triggered when only one deposit line is selected,"When selecting a single deposit line on the reconciliation page, the system incorrectly throws an M:1 (many-to-one) match error on the popup. Only one deposit line is selected, so the M:1 error should not be triggered. Rob reported the issue with 3 PDF screenshots (A, A1, A2) showing the popup with totals, the reconciliation page, and the full page view.",- Selecting exactly one deposit line does not trigger an M:1 error.; - M:1 error only appears when multiple deposit lines are genuinely selected.; - Match popup totals accurately reflect the selected deposit line amounts.,"Reported by Rob 3/11/26. 3 PDF screenshots attached (A.pdf, A1.pdf, A2.pdf).",Completed,,
GLOBAL-002,UI / Components,P2,UI: Improve Column Settings popup - replace redundant locked tags with checkboxes and icon-based reorder controls,"The ""Choose Columns"" gear popup currently shows two separate ""Locked"" tags per locked column (redundant/cluttered) and uses Up/Down text labels for reorder controls (space-inefficient). Proposed changes: (1) Replace the two Locked tags with a single checkbox per field; (2) Replace Up/Down text with up/down arrow icons; (3) Add a header row above the Selected Columns list (Field Name / Locked / Reorder); (4) Auto-sort: when a field is checked as locked, it auto-moves to the bottom of the locked group at the top of the list. Manual reordering with icons is still available; locked fields always remain grouped above unlocked fields.","- Each locked column shows one checkbox, not two Locked tags.; - Reorder controls display up/down arrow icons instead of Up/Down text.; - A header row (Field Name / Locked / Reorder) appears above the Selected Columns list.; - Checking a field as locked auto-moves it to the last position in the locked group at the top.; - Unlocked fields stay below all locked fields.; - Arrow icon reordering still works within each group.",Reported by Rob 3/11/26. Screenshot of current state attached (double locked.pdf). Applies to Choose Columns gear popup across the app.,"Completed, for review",,
REC-013,Reconciliation / Matching,P1,"Bug: Deposit summary page missing total Usage calculation and uses incorrect ""Total Revenue"" label","On the main deposit page, the system only displays the total commission from the deposit but does not calculate or show the total Usage. Additionally, the Feb 2026 deposit summary uses the incorrect label ""Total Revenue"" instead of ""Total Usage/Billing"". Rob noted this with a screenshot showing deposit detail with usage/commission totals at the top.","- Total Usage is calculated and displayed on the deposit page alongside total commission.; - The summary label reads ""Total Usage/Billing"" not ""Total Revenue"".; - Values match the deposit line items when verified manually.",Reported by Rob via Google Doc 3/12/26. Two issues in one: missing Usage total calculation and mislabeled field.,Unkown,,
REC-014,Reconciliation / Matching,P1,Bug: Editing revenue schedule amounts (Manage) does not recalculate Expected Usage Gross,"When editing the original amounts on a revenue schedule via the Manage modal, the system does not recalculate Qty x Price Each + Adjustment = Expected Usage Gross. Rob edited a value from $49.92 to $599.00 and the Expected Usage Gross did not update. If proceeding to match after this edit, the tolerance also appears to evaluate incorrectly as a result of the stale gross value.","- Any edit to Qty, Price Each, or Adjustment in the Manage modal triggers recalculation of Expected Usage Gross.; - The updated Expected Usage Gross is reflected immediately after saving.; - Subsequent match tolerance checks use the newly calculated gross value.",Reported by Rob via Google Doc 3/12/26. May be related to REC-015 (tolerance bug) — stale gross value compounds the tolerance calculation issue.,Unkown,,
REC-015,Reconciliation / Modals,P1,Bug: Variance tolerance treated as flat $0.01 amount instead of a percentage of Actual vs. Expected Usage,"When continuing a match that falls outside the variance threshold, the system evaluates tolerance as a flat $0.01 dollar amount instead of a configured percentage of Actual vs. Expected Usage. Example: with a +30% tolerance parameter set, a $100 expected amount with $129.99 actual should pass (29.99% over), but $131.00 ($30/$100 = 33.33% over) should be flagged. The current flat $0.01 check incorrectly blocks nearly every match.","- Tolerance is evaluated as a % of Actual vs. Expected Usage, not a flat dollar amount.; - The configured % parameter is correctly applied in match decisions.; - A match within the % threshold passes; a match outside it is flagged for user review.; - Example: +30% on $100 expected passes $129.99 actual but flags $131.00.",Reported by Rob via Google Doc 3/12/26. May be related to REC-014 — stale Expected Usage Gross compounds the issue. Also see REC-016 (Cancel button on variance popup).,Unkown,,
REC-016,Reconciliation / Modals,P2,"UI: Add ""Cancel"" button to variance decision popup so users can exit without committing","On the variance decision popup (the step where the user is asked to decide how to handle a match that falls outside the variance threshold), there is currently no Cancel button. Users are forced to make a decision and cannot back out of the screen to do further research. Rob needs a Cancel option to escape without committing to any match decision.","- A ""Cancel"" button is present on the variance decision popup.; - Clicking Cancel dismisses the popup without saving any match decision or changes.; - User is returned to the reconciliation screen in its previous state.; - No partial data is written on Cancel.",Reported by Rob via Google Doc 3/12/26. Related to REC-015 (tolerance % bug). See also REC-009 (matching modal UX cleanup).,Unkown,,
REC-017,Reconciliation / Undo Logic,P0,Bug: Unmatch does not fully clear prior adjustment — Revenue Schedules table shows stale Expected Usage Net on Opportunity Details,"After a deposit is matched and subsequently unmatched, the Revenue Schedules table on the Opportunity Details page retains a stale adjusted value rather than reverting to the correct pre-match figure. Example: Schedule #12698 displays correctly on its own detail page, but the Revenue Schedules table shows Expected Usage Net as $50 when it should be $550. Reproduced by: (1) match a $600 deposit line to the schedule, (2) unmatch it, (3) observe the Revenue Schedules table still shows the adjusted value. The system is not fully clearing the previous adjustment or recalculating the displayed value after unmatch.","- After an unmatch, the Revenue Schedules table on Opportunity Details shows the correct pre-match Expected Usage Net.; - The schedule detail page and the Revenue Schedules table are in sync after unmatch.; - No stale adjustment value persists in the table display.; - Regression: re-matching after an unmatch behaves correctly.",Reported by Rob via Google Doc 3/12/26. Distinct from REC-007 (unmatch clearing actuals/commission) — this is specific to the Revenue Schedules table display on Opportunity Details not updating after unmatch. Schedule #12698 is the confirmed test case.,Unkown,,
REC-018,Reconciliation / Variance Workflow,P0,Implement Step 1 of 3-step variance workflow: Usage Overage options with checkboxes and step progress indicators,"When a deposit has a usage overage outside variance, the matching modal must present a mandatory Step 1 that walks the user through resolution: (A) auto-adjust if within variance, or (B) present three user choices if outside variance: one-time adjustment, apply to all future schedules (absorb into price each), or create a flex schedule for unknown overages. A checkbox/completion indicator marks Step 1 done before proceeding to Step 2.","- If usage is within variance, auto-adjust one time without user input.; - If outside variance, present 3 options with ""or"" text between them and a Submit button (no auto-fire on click).; - Options: (1) One-time adjustment, (2) Apply to all future schedules / absorb into price each, (3) Create flex schedule.; - A step label ""Step 1 – Usage Overage"" with checkbox marks completion before advancing.; - Step 2 is not accessible until Step 1 is resolved.",Depends on REC-019 and REC-020 for full 3-step workflow. Part of the mandatory sequential reconciliation flow discussed 03/11/26.,Unkown,,03/11/26 Fathom Meeting Transcript
REC-019,Reconciliation / Variance Workflow,P0,Implement Step 2 of 3-step variance workflow: Commission Rate variance with flag/ticket creation for low-rate scenarios,"After usage (Step 1) is resolved, the system checks commission rate variance. If rate is higher than expected, user can choose: adjust one time or apply to all future schedules. If rate is lower than expected, the system flags the schedule with a low-rate tag, creates an internal ticket/report entry for investigation, and proceeds — no flex product needed. A step label marks Step 2 complete.","- Higher rate: user is presented with ""adjust one time"" or ""apply to all future schedules"".; - Lower rate: system auto-flags as ""low rate,"" creates a ticket/report entry for investigation, and does not prompt user for further action.; - Step 2 only appears after Step 1 is marked complete.; - Low-rate flagged items appear in a dedicated report/list for review.",Depends on REC-018 (Step 1) being complete. Low-rate ticket/report destination TBD — confirm with Rob where flagged items should surface.,Unkown,,03/11/26 Fathom Meeting Transcript
REC-020,Reconciliation / Variance Workflow,P1,Implement Step 3 of 3-step variance workflow: Commission Amount — only triggered if usage and rate are settled with remaining variance,"Step 3 handles any remaining commission amount variance only after Steps 1 and 2 are resolved. If usage is settled and rate matches or is lower, any remaining commission overage is resolved by creating a flex schedule with commission amount only (no extra usage tied to it). In most cases this step should auto-resolve without additional user input.","- Step 3 is only triggered if usage is settled, rate is settled, and a commission amount variance still remains.; - Remaining variance is resolved via a flex schedule with commission amount only (no usage).; - In most cases Steps 1 and 2 resolution causes Step 3 to auto-resolve.; - User is not prompted unnecessarily if no commission amount variance remains.",Depends on REC-018 and REC-019. Per Rob: this step should rarely require user action if Steps 1 and 2 are handled correctly.,Unkown,,03/11/26 Fathom Meeting Transcript
REC-021,Reconciliation / Modals,P1,Add yellow background highlight preview for usage/commission changes in variance step modals (Steps 1 and 2),"When a user selects an option in the Step 1 or Step 2 variance modals (e.g., absorb into price each), the impacted fields (price each, commission amount) should update in real-time with a yellow background highlight so users can see exactly what will change before hitting Submit. Distinct from REC-008 which covers the main reconciliation grid preview.",- Selecting an option previews the resulting value change in-modal before Submit.; - Changed fields are highlighted with a yellow background.; - Previews update dynamically as user switches between options.; - Clicking Submit applies the change; deselecting or switching options reverts the preview.; - Applies to both Step 1 (usage) and Step 2 (commission rate) modals.,Related to REC-008 (grid-level preview) and REC-018/REC-019. Rob specifically requested yellow background highlight per 03/11/26 meeting.,Unkown,,03/11/26 Fathom Meeting Transcript
REC-022,Reconciliation / Modals UI,P2,Variance modal button UX: resize option buttons smaller with 'or' separator text and require Submit click before action fires,"The action buttons in the variance step modals should be made smaller, have ""or"" text between them, include a plain-language instruction line above the options, and require the user to click a dedicated Submit button — options should not fire automatically on click to prevent accidental selections.","- Buttons are smaller than current size.; - ""or"" text appears as a separator between button options.; - A plain-language instruction line appears above the options (e.g., ""Choose one of the three options below"").; - Selecting an option highlights it but does NOT execute until Submit is clicked.; - Submit button is required to confirm the action.",Related to REC-018 and REC-019 step modals. Rob confirmed button sizing and Submit-required behavior in 03/11/26 meeting.,Unkown,,03/11/26 Fathom Meeting Transcript
UI-001,UI / Components,P2,Standardize gradient header style across all reconciliation and matching modals,Rob confirmed the gradient-style modal header should be the standard for all modals. All reconciliation and matching modals should be updated to use the consistent gradient header at the same thickness — replacing any remaining plain white/blue header variants.,"- All modals use the gradient header style at consistent thickness.; - Plain white-background headers are replaced or updated to match.; - Applies to all existing modals: match wizard, variance steps, many-to-one, and future modals.; - No functional changes — header style only.",Rob confirmed gradient preference in 03/11/26 meeting. Applies globally across all modal types.,Unkown,,03/11/26 Fathom Meeting Transcript
REC-023,Reconciliation / Modals,P1,Redesign many-to-one matching modal: remove step bubbles and add deposit/schedule preview cards with single Edit Allocation button and visible Bundle option,"The many-to-one matching modal needs a full redesign. Remove the Selection/Allocation/Validation/Apply progress bubbles. Replace with: deposit line item preview at top, schedule data preview below (matching standard modal layout), yellow-highlight pre-populated usage/commission actuals, a single primary Edit Allocation button, and the Bundle option exposed (not hidden).","- Progress bubbles (Selection / Allocation / Validation / Apply) are removed.; - Modal shows deposit line item details at top and revenue schedule data below.; - Usage actual and commission actual are pre-populated with yellow highlight.; - Primary action button reads ""Edit Allocation"".; - Bundle option is visible and accessible (not buried in sub-steps).; - Modal header uses the standard gradient style consistent with UI-001.",Related to UI-001 (gradient header) and REC-021 (yellow highlight previews). Full redesign spec confirmed by Rob in 03/11/26 meeting.,Unkown,,03/11/26 Fathom Meeting Transcript
REC-024,Reconciliation / Validation,P0,Add cross-distributor/vendor validation to prevent matching deposit lines and schedules from different deals,"The system must block a user from matching deposit line items and revenue schedules that belong to different deals (e.g., DW Realty vs. Edge Business). If the distributor/vendor combination does not match, the system should prevent the match and surface a clear plain-language error message.","- System checks distributor and vendor on both the deposit line and revenue schedule before allowing a match.; - If they belong to different deals, the match is blocked with a plain-language error message.; - Valid same-deal matches are unaffected.; - Validation works in both one-to-one and many-to-one match scenarios.",Rob flagged this as a critical validation gap in 03/11/26 meeting. Example: DW Realty deposit should not be matchable to Edge Business schedule.,Unkown,,03/11/26 Fathom Meeting Transcript
BUG-001,Revenue Schedules / Search,P0,Fix broken global search bar on Revenue Schedules page,"The global search bar on the Revenue Schedules page is broken and returns no results for any query. Confirmed live during the 03/11/26 meeting. The search should query all available columns in the revenue schedules table (account, product, opportunity, order ID, etc.).","- Search bar returns results for any valid column value (account name, product name, order ID, etc.).; - Search works across all columns associated with the revenue schedules table.; - Results filter correctly without requiring a full page reload.; - Regression: previously working search behavior is restored.",Confirmed broken live during 03/11/26 meeting. Hunter noted it broke globally — not page-specific.,Unkown,,03/11/26 Fathom Meeting Transcript
