"Ticket ID","Epic/Area","Priority","Title","Description","Acceptance Criteria","Notes/Dependencies","Source","Completion Status","Hunter Development Notes"
"RB-ACC-003","Accounts","P1","Typeahead fields: show dropdown arrow to open options (Parent Account)","Add dropdown indicator allowing users to open suggestions list without typing for Parent Account field.","Dropdown arrow visible; clicking shows A–Z list; typing filters list; selection works.","Apply to similar typeahead controls where applicable.","Rob Email Feedback 01/25","Completed",""
"RB-ACC-004","Accounts","P1","Parent Account create-on-miss prompt (tab/click away)","If user enters a Parent Account name that doesn’t exist, prompt to create new Parent Account when they tab/click away.","Non-matching entry triggers modal/prompt; user can create or cancel; on create, new account saved and linked as Parent; no duplicates created.","Requires safe-guard against near-duplicates and archived duplicates (if archive exists).","Rob Email Feedback 01/25","Completed","Status update 2026-03-02: Parent Account create-on-miss flow implemented in components/account-create-modal.tsx + server support in app/api/accounts/route.ts via newParentAccountName."
"RB-ACC-005","Accounts","P2","Default 'Same as Ship To' checked + pre-populated; unchecking clears","Default billing/shipping link behavior: Same as Ship To checked by default and pre-populates; unchecking clears dependent fields.","On new/edit account, checkbox defaults checked; billing fields mirror ship-to; uncheck clears billing fields; re-check re-copies.","Confirm which direction is source-of-truth (ASSUMED: Ship To -> Bill To).","Rob Email Feedback 01/25","Completed",""
"RB-ADM-001","Admin/Users","P2","After Add User → Save, redirect to User List","After saving a new user in Admin, return user to the User List page.","On Save success, route navigates to user list; toast confirmation shown; no double-submit.","UI navigation fix.","Rob Email Feedback 01/25","Completed",""
"RB-ADM-002","Admin/Users","P1","New user remains Inactive until invitation accepted","Ensure new users remain Inactive until they accept the invite email; align behavior with popup copy.","New user status=Inactive post-create; becomes Active only after acceptance; audit log entry recorded.","Confirm email invite workflow and token expiration rules.","Rob Email Feedback 01/25","Planning","Status update 2026-03-02: Implementation plan exists in docs/plans/2026-02-27-rb-adm-002-user-invite-activation-plan.md; email provider/workflow decisions pending.
We will need to discuss how we will set up email service"
"RB-OPP-001","Opportunities","P0","Require at least one Role contact before saving Opportunity","Opportunity creation must require at least one Role contact prior to Save/Complete.","Save blocked until at least one role contact added; inline error shown; server validation prevents bypass.","Need definition of role contact entity and where stored (ASSUMED: OpportunityContactRole table).","Rob Email Feedback 01/25","Blocked","Status update 2026-03-02: PATCH enforces roles, but create flow still cannot add roles before creation; needs product decision + POST enforcement.
We do not currently provide the user an opportunity to create a role until after an Opportunity is created and they are able to navigate to the ""Role"" Tab. Woud you like us to add a typehead+lookup for Contact + Role on the Create Opportunity Pop-up"
"RB-OPP-002","Opportunities","P1","Role lookup restricted to Account contacts or Parent Account contacts","When selecting Role contact, only show contacts from the Opportunity’s Account and its Parent Account (corporate buyer).","Role contact dropdown/search only returns eligible contacts; selecting ineligible contact blocked.","Confirm parent-account relationship is single-level or multi-level (ASSUMED: single-level).","Rob Email Feedback 01/25","Completed",""
"RB-OPP-003","Opportunities","P2","Default Subagent to None","Set Subagent default value to None (not blank) on Opportunity create.","Subagent field defaults to None; Save works without selecting subagent; value stored consistently.","Align with Subagent % enable/disable logic.","Rob Email Feedback 01/25","Completed",""
"RB-OPP-004","Opportunities","P2","Default Referred By to None","Set Referred By default to None (not blank / not 'No House Rep').","Referred By defaults to None; user can select; value saved; no auto-populated incorrect values.","May be superseded by House Rep renaming ticket.","Rob Email Feedback 01/25","Completed",""
"RB-OPP-005","Opportunities","P1","Clarify/implement Referred By vs House Rep field behavior","Either remove Referred By, or rename/replace with House Rep that defaults to current user and restricts selectable values to House contacts/employees.","Chosen approach implemented: field label and behavior match; defaults correct; selection restricted; downstream reporting updated.","Decision needed: remove vs rename (ASSUMED: rename to House Rep).","Rob Email Feedback 01/25","Blocked","Status update 2026-03-02: Needs decision on Referred By vs House Rep behavior (remove vs rename/replace)."
"RB-OPP-006","Opportunities","P1","Add dropdown arrow + full A–Z list to typeahead/dropdowns (Subagent/Referred By etc.)","Add dropdown arrow to open full list for all typeahead fields (Subagent, Referred By/House Rep, etc.).","Arrow visible; clicking opens list; list sorted A–Z; typing filters; selection persists.","Should align with global dropdown/typeahead standard ticket.","Rob Email Feedback 01/25","In Progress","Status update 2026-03-02: Dropdown chevrons + empty-query lists exist in some typeaheads (e.g., components/opportunity-create-modal.tsx); still needs consistency audit across app."
"RB-OPP-007","Opportunities","P0","Subagent % disabled unless Subagent selected; enforce 0.01–99.99%","If no subagent selected, Subagent % is disabled and not required. If subagent selected, % is required and validated >0.01% and ≤99.99%.","Subagent % disabled when subagent=None; enabled when selected; validation messages show; saves only with valid range; server validates range.","Confirm percent stored as 0–100 vs 0–1 (ASSUMED: 0–100).","Rob Email Feedback 01/25","Completed","Status update 2026-03-02: Subagent % validation + disable-unless-selected implemented (components/account-opportunity-create-modal.tsx + app/api/opportunities/route.ts)."
"RB-OPP-008","Opportunities","P1","Fix Opportunity billing/shipping addresses not displaying on main Opportunity page","Ensure Billing + Shipping addresses are populated and displayed on Opportunity main view as expected.","On Opportunity create, addresses pull from Account; displayed on Opportunity; editing Account updates opportunity per rule (ASSUMED: snapshot at creation).","Need to confirm snapshot vs live-link behavior; avoid null concatenation.","Rob Email Feedback 01/25","Completed",""
"RB-OPP-009","Opportunities","P1","Fix Role values dropdown not syncing from Opportunity Role field; sort contacts A–Z by last name","Role values dropdown (with arrow and A–Z list) is not passing through from Opportunity Role field on Create Opportunity popup. Additionally, when adding a role to an Opportunity, the dropdown should sort A–Z by last name.","- Selecting an Opportunity Role updates/syncs correctly to the Role values dropdown.
- Role dropdown provides arrow + full list.
- Sorting is A–Z by contact last name.
- Regression: role selection persists correctly on save and displays on Opportunity Detail.","Optional enhancement (from client curiosity): show current record’s contacts first, then all other contacts.","Rob_Email_Feedback_Pt.2_02-26-26.docx","In Progress","Status update 2026-03-02: Needs investigation/QA on role dropdown syncing + contact sort-by-last-name behavior."
"RB-OPP-010","Opportunities","P2","Add visual divider + align fields 2x2 + fix tab order on New Opportunity Product form","Add a divider line between top and bottom halves of the New Opportunity Product form. Even fields into a 2x2 layout and ensure tab order goes left→right, then next row left→right.","- Divider line added between form sections.
- Fields arranged in a balanced 2x2 layout (where applicable).
- Tab order follows left→right, next row left→right.
- No layout break at typical screen widths.","","Rob_Email_Feedback_Pt.2_02-26-26.docx","In Progress","Status update 2026-03-02: Opportunity Product form layout/divider/tab-order still needs verification/implementation (likely components/opportunity-line-item-create-modal.tsx)."
"RB-OPP-011","Opportunities/Products","P1","When selecting a Product (#5 quick select), auto-populate Product Family and Subtype","When user uses the quick select (#5) to pick a product, Product Family and Product Subtype should auto-populate. Currently this is not triggering.","- Selecting a product from quick select updates Product Family and Product Subtype fields immediately.
- Changes persist on save.
- If selected product has no family/subtype, fields remain blank and do not error.","","Rob_Email_Feedback_Pt.2_02-26-26.docx","Completed","Fixed the “Add Existing Product” dropdown selection to also populate House - Product Family/Subtype from the selected product"
"RB-PROD-001","Products","P0","Fix Expected Commission Rate display formatting (0.16% vs 16.00%)","Fix percentage formatting where 16% displays as 0.16% in product contexts.","Rate displays correctly in list + detail + create flows; stored value consistent; regression tests for calculations unaffected.","Likely 0–1 vs 0–100 conversion bug.","Rob Email Feedback 01/25","Completed",""
"RB-PROD-002","Products","P1","Create Product popup: add dropdown arrows + full dropdown lists for Distributor/Vendor/Family/Subtype","Add dropdown arrow controls and full list selection for Distributor Name, Vendor Name, House Product Family, House Product Subtype.","Arrow visible; opens full list; list sorted; filters; selection persists; dependent cascading works.","Ensure vendor list filtered by distributor, family/subtype filtered appropriately.","Rob Email Feedback 01/25","Completed",""
"RB-PROD-003","Products","P1","Create Product popup: duplicate product detection (warn/block)","Detect if a product already exists (by key fields) and warn or prevent duplicate creation.","On attempted duplicate, user sees warning; can cancel; system blocks hard duplicates; optional merge path (if supported).","Define matching keys (ASSUMED: Distributor+Vendor+Family+Subtype+Product Name).","Rob Email Feedback 01/25","Completed",""
"RB-PROD-004","Products","P0","Create Product popup: fix non-required fields blocking Save","Fields that are not required must not block Save (Other Product Name, Vendor Part #, Other Part Number, Other Product Description).","User can save with those fields blank; required validation only triggers on required fields; server validation aligned.","Re-check schema constraints and frontend validation schema.","Rob Email Feedback 01/25","Completed",""
"RB-PROD-005","Products","P2","Create Product popup: remove pre-filled example placeholders/tooltips","Remove example default text (e.g., “Cable Services…”, “PN-123…”) so fields are blank by default.","New product form fields start blank; placeholders are generic labels only; no sample data saved accidentally.","UI/UX cleanup.","Rob Email Feedback 01/25","Completed","Status update 2026-03-02: Create Product modal uses generic placeholders (no sample default text) in components/product-create-modal.tsx.
Is the intent for ""no example placeholders anywhere"" or just relating to Products Modal? 

Please navigate to catalog, then open the Create New Product modal. Please verify if this stytle of generic lables matches what you are looking for. "
"RB-PROD-006","Products","P1","Product Detail: add dropdown arrow + larger dropdown for Product Family/Subtype","Improve Product Family/Subtype editing with dropdown arrows and larger dropdown lists.","Arrow present; list scrolls internally; no page jump; selection saves; lists sized appropriately.","Also addresses dropdown UX issues on detail page.","Rob Email Feedback 01/25","Completed",""
"RB-PROD-007","Products","P1","Fix dropdown UX bug: page scroll/jump when opening dropdown; scroll should be inside dropdown","When opening a long dropdown (Family/Subtype), the page should not jump; scrolling should occur inside dropdown list.","Opening dropdown does not move viewport; dropdown list scrolls; keyboard navigation works; closes on blur/esc.","May require portal/popover positioning updates.","Rob Email Feedback 01/25","In Progress","Status update 2026-03-02: Still needs UX validation/fix for dropdown scroll/jump in Create Product flow (components/product-create-modal.tsx).
Will liekly just move banner to bottom half of modal just above the horizontal divider line. Also taking due diligience to try and improve performance so this loads and displays at the same time instead of the current behavior where the omdal appears then the banner loads and displays pushing the fields down creating a jumpy/choppy UX"
"RB-PROD-008","Products","P1","Remove Vendor Part # field; rename Other Part Number (remove 'Aliases'); ensure deposit mapping targets Other Part Number","Remove redundant Vendor Part # field from product; rename Other – Part Number (Aliases) to Other – Part Number; ensure deposit mapping writes to this field.","Vendor Part # removed from UI and schema (or hidden); renamed field appears; deposit matching/mapping updates correct field; no data loss (migrate values if needed).","Migration required if existing data lives in Vendor Part #.","Rob Email Feedback 01/25","Completed",""
"RB-PROD-009","Products","P2","Fix underline styling for description fields (wrap-aware)","Underline should sit under text and expand down as text wraps for House Description and Other Product Description.","Underline renders correctly for single/multi-line; no floating text effect; consistent typography.","CSS fix for text-decoration / border-bottom behaviors.","Rob Email Feedback 01/25","Completed",""
"RB-PROD-010","Products","","Fix Expected Commission Rate % formatting (0.16% vs 16.00%) across UI and calculations","Expected Commission Rate displays incorrectly (e.g., 0.16% instead of 16.00%). This appears in the main product page and other product-related forms.","- Expected Commission Rate displays as 16.00% when the stored value is 16 (0–100 scale).
- Confirm schema stores 0–100 and not 0–1; if stored as 0–1, normalize consistently.
- Ensure calculations using commission rate remain correct.
- Regression: no 100x / 0.01x errors in any report or UI field.","Verify whether the incorrect display is due to the stored value or a UI formatting helper.","Rob_Email_Feedback_Pt.2_02-26-26.docx","Completed",""
"RB-PROD-011","Products","P0","Fix/Implement duplicate product detection flow and repair 'Proceed Anyway' button","Client expects duplicate detection when creating new products. Additionally, the 'Proceed Anyway' button in the Create New Product modal is not working and blocks the form from processing.","- If duplicate check is enabled: system detects potential duplicates and presents a confirm modal.
- 'Proceed Anyway' successfully submits and creates the product.
- If duplicate check is not intended: remove/disable the duplicate warning UI (ASSUMED) to eliminate the broken Proceed flow.
- Add automated test covering the Proceed flow.","ASSUMED: Duplicate detection is intended ('Was this page supposed to have a check for duplicate entry?'). Confirm requirement; implement accordingly.","Rob_Email_Feedback_Pt.2_02-26-26.docx","Blocked","Status update 2026-03-02: 'Proceed anyway' still re-runs dedupe and blocks; needs override/confirm flow decision + implementation (components/product-create-modal.tsx).
Today the app shows “Proceed anyway,” but clicking it just re-checks for similar products and then stops again. So it feels like the button “does nothing.”

Here are a few different approaches we can take to resolve the issue, and what the user experience would look like:

Option A : “Proceed anyway” really proceeds
- User clicks Save → sees a list of possible duplicates.
- User clicks “Proceed anyway” → the product is created even though similar ones exist.
- Still blocked only for a true exact duplicate (same exact name/part #), if you want that safety.

Option B: “Proceed anyway” becomes “I understand, create it anyway”
- Same as Option A, but with an extra confirmation step (or a checkbox).
- This reduces accidental duplicates because users have to explicitly acknowledge the warning.

Option C (Reduce noisy warnings): warn less often so “Proceed anyway” is rarely needed
- The system becomes pickier about what counts as “possible duplicate” (for example: only warn if the same vendor/distributor matches, or if the part # matches exactly).
- Result: users see fewer “Possible duplicates” banners; when they do see it, it’s more likely to be a real conflict.

Option D (Policy/permissions): only certain people can “Proceed anyway”
- Regular users must pick an existing product or change details.
- Managers/admins can override and create anyway (with logging).
- Result: fewer duplicates overall, but some users may need help/escalation to create new products.

Let me know your preference on how we want to handle this and I can get it done ASAP. "
"RB-BUND-001","Bundles","P1","Make Bundle rows clickable and open Bundle Detail page with edit capability","When a user clicks a Bundle, they should be taken to its detail page with the ability to make edits.","- Bundle list rows are clickable.
- Clicking navigates to Bundle Detail view.
- Bundle Detail allows editing relevant fields and saving changes.
- Unauthorized users cannot edit (if permissions apply).","","Rob_Email_Feedback_Pt.2_02-26-26.docx","Completed",""
"RB-DEPO-001","Deposit Upload","P2","Tighten Field Mapping table columns and left-justify headers","Deposit Upload Field Mapping page needs narrower/tighter columns and header alignment with text (left-justified) to improve readability.","- Column widths reduced to fit content without excessive whitespace.
- Headers aligned with column text (left-justified).
- No text truncation for key fields at typical window widths (or provide wrap/tooltip).","","Rob_Email_Feedback_Pt.2_02-26-26.docx","Completed","Status update 2026-03-02: Field Mapping table column sizing/alignment implemented in components/deposit-upload/map-fields-step.tsx."
"RB-DEPO-002","Deposit Upload","P1","Add template selector/filter for multi-vendor field mapping so template fields map to the active template","In multi-vendor workflow, all template fields are currently shown in one tab, making it unclear which fields belong to which template. Add a dropdown to filter/select the active template when viewing 'Template Fields'.","- Multi-vendor Field Mapping UI includes a template dropdown selector.
- Selecting a template filters Template Fields to only those associated with the chosen template.
- Field mappings persist per template.
- Clear indication of which template is active.","","Rob_Email_Feedback_Pt.2_02-26-26.docx","Completed","Status update 2026-03-02: Multi-vendor template selector/filter implemented in components/deposit-upload/map-fields-step.tsx.
deposit-upload-workflow-guide.md"
"RB-UX-001","Global UX","P1","Standardize typeahead/dropdown controls: add dropdown arrow + full A–Z list everywhere applicable","Across the app, typeahead fields should include a dropdown arrow allowing users to open full list (A–Z where applicable).","All relevant typeahead controls show arrow; open list without typing; list sorted; consistent styling; no regressions.","Audit required: Parent Account, Subagent, Vendor Contact, Product selectors, etc.","Rob Email Feedback 01/25","In Progress","Status update 2026-03-02: Partially implemented via dropdown chevrons/typeahead lists in multiple modals; needs app-wide audit + standard component rollout."
