ID,Area,Subarea,Requirement,Acceptance Criteria (how we'll test it),Sources (file refs),Priority,Status,Last Checkpoint/Notes
GRP-08,Groups,List / Detail / Membership,Reporting integration for groups,Reports can filter by membership; member list export; group activity summary; overlap analysis; performance metrics.,Groups Module Spec (turn0file5 ?6),P2 - Nice to have,Not Completed,"Reporting integration for groups needs implementation."
GRP-09,Groups,List / Detail / Membership,Known issues fixed (consistency),Ensure Public/Private field appears consistently in all views; add Member Count calc to list views; implement cascade delete rules.,Groups Module Spec (turn0file5 ?8.2 Required Fixes),P0 - Launch blocker,Completed,"All known issues resolved; Public/Private field consistent across views."
COM-01,Commissions,Reassignment & Termination,Commission structures: original vs current per opportunity,"Opportunity stores immutable Original structure (house split, rep %, subagent % + identities, creation date, approver) and mutable Current structure with effective date.",Commission Reassignment System (turn0file0 ?2.1),P0 - Launch blocker,Completed,"Commission structure storage with original/current split fully implemented."
COM-02,Commissions,Reassignment & Termination,Key dates enforced,Commission End Date and Reassignment Date captured; Reassignment Date must be same/after End Date; End Date cannot precede opportunity creation.,Commission Reassignment System (turn0file0 ?2.2; ?8.1),P0 - Launch blocker,Completed,"Date validation and enforcement fully implemented."
COM-03,Commissions,Reassignment & Termination,Reassignment Types A/B/C behaviors,Type A House absorption; Type B direct transfer (same %); Type C custom redistribution with validation to 100%.,Commission Reassignment System (turn0file0 ?3),P0 - Launch blocker,Completed,"All reassignment types A/B/C fully implemented with validation."
COM-04,Commissions,Reassignment & Termination,Level 1 ? Individual Opportunity reassignment flow,From Opportunity Detail ? Manage Commissions; set termination date; choose type; select new rep if B/C; preview revenue impact; apply to single opp only.,Commission Reassignment System (turn0file0 ?4.1),P1 - Must have,Completed,"Individual opportunity reassignment workflow fully implemented."
COM-05,Commissions,Reassignment & Termination,Level 2 ? Account-level reassignment flow,From Account Detail ? Reassign All Opportunities; show all opps count/value; choose uniform vs individual treatment; set dates; execute.,Commission Reassignment System (turn0file0 ?4.2),P1 - Must have,Completed,"Account-level reassignment workflow fully implemented."
COM-06,Commissions,Reassignment & Termination,Level 3 ? Global Rep reassignment (preferred account list method),"Filter accounts by owner; multi-select; Reassign Accounts opens Global modal with scope & type options, preview changes, execute.",Commission Reassignment System (turn0file0 ?4.3?4.4); Accounts v2.0 (turn0file9 ?1.5; ?9.9),P1 - Must have,Completed,"Global rep reassignment with filtering and preview fully implemented."
COM-07,Commissions,Reassignment & Termination,Global Reassignment Wizard steps implemented,5-step wizard covers Scope Analysis ? Strategy Selection ? Rule Configuration (segmented) ? Impact Preview ? Execution with audit & notifications.,Commission Reassignment System (turn0file0 ?4.4 Steps 1?5); Global UI Specs Commission Wizard (turn0file8 ?9.3),P1 - Must have,Completed,"5-step wizard with all phases fully implemented."
COM-08,Commissions,Reassignment & Termination,Revenue schedule calculations after termination,Before End Date: pay original structure; after: pay new; split periods prorated by days; monthly and annual prepay examples validate logic.,Commission Reassignment System (turn0file0 ?5),P1 - Must have,Completed,"Revenue schedule calculations with pro-rating fully implemented and validated."
COM-09,Commissions,Reassignment & Termination,Queue management & dashboards,"Commission dashboard widgets for Active Commissions, Pending Reassignments, Recent Terminations; Reassignment Queue with status, filters, bulk actions.",Global UI Specs v2.0 (turn0file8 ?9.2; ?9.4),P2 - Nice to have,Completed,"Commission dashboard and queue management fully implemented."
COM-10,Commissions,Reassignment & Termination,History & preview UIs,Commission History timeline per opportunity; Reassignment Preview modal showing current vs proposed structures and financial impact.,Global UI Specs v2.0 (turn0file8 ?9.5?9.6),P2 - Nice to have,Completed,"History timeline and preview UIs fully implemented."
COM-11,Commissions,Reassignment & Termination,Contact-level commission fields & termination trigger,"Contact has Commission_Eligible, End Date, Reassignment_Status, Active Opportunity Count; 'Terminate All Commissions' initiates global process.",Contacts Spec v2.0 (turn0file3 ?7.1?7.2),P1 - Must have,Completed,"Contact-level commission fields and termination triggers fully implemented."
COM-12,Commissions,Reassignment & Termination,Validation & system constraints,Splits must total 100%; cannot reassign closed opps; audit trail entries immutable; originals immutable; payment calcs lock after processing; manager approval required.,Commission Reassignment System (turn0file0 ?8?9),P0 - Launch blocker,Completed,"All validation rules and constraints fully implemented."
COM-13,Commissions,Reassignment & Termination,Audit & compliance requirements,"All changes logged with timestamp, user, before/after, reason; approvals recorded; finance/legal notifications for large/termination cases.",Commission Reassignment System (turn0file0 ?9.2); Multi-Level Guide (turn0file6 ?8),P1 - Must have,Completed,"Comprehensive audit logging and compliance features fully implemented."
COM-14,Commissions,Reassignment & Termination,Integration with Reconciliation/Reporting/Accounting,"Reconciliation receives reassignment records and calculates final payments; reporting includes Commission History, Audit Trail, Revenue Impact; accounting updates GL, accruals, schedules.",Commission Reassignment System (turn0file0 ?6); Multi-Level Guide (turn0file6 ?11),P1 - Must have,Completed,"Full integration with reconciliation, reporting, and accounting systems implemented."
COM-15,Commissions,Reassignment & Termination,"Advanced features (templates, scheduled, rules engine) ? backlog",Support templates for common patterns; scheduled reassignments with future effective dates; conditional rules engine for automated segmentation.,Multi-Level Guide (turn0file6 ?6),P2 - Nice to have,Not Completed,"Advanced features identified for future backlog."
COM-16,Commissions,Reassignment & Termination,Troubleshooting & rollback,"Implement error log, retry mechanism, manual review queue; emergency rollback within 48 hours; cancel in-progress with partial rollback report.",Multi-Level Guide (turn0file6 ?10),P1 - Must have,Completed,"Troubleshooting tools and rollback capabilities fully implemented."
COM-17,Commissions,Reassignment & Termination,Decision matrix / quick reference accessible,Provide quick decision matrix for choosing Level (1/2/3) and Type (A/B/C) from access points.,Multi-Level Guide (turn0file6 ?1),P2 - Nice to have,Not Completed,"Decision matrix identified for future implementation."
COM-18,Commissions,Reassignment & Termination,Performance & migration for commissions,Index End Date; cache calcs; batch bulk ops; preserve existing structures during migration; initialize reassignment fields null.,Commission Reassignment System (turn0file0 ?11.1?11.2),P1 - Must have,Completed,"Performance optimizations and migration support fully implemented."
COM-19,Commissions,Reassignment & Termination,Testing requirements for commissions,"Unit & integration tests for A/B/C types, schedule calculations, audit completeness, permission enforcement, and bulk scale operations.",Commission Reassignment System (turn0file0 ?11.3),P0 - Launch blocker,Not Completed,"Testing suite needs completion for production readiness."
COM-20,Commissions,Reassignment & Termination,Future enhancements backlog captured,"Automated rules, clawbacks, multi-level approvals, advanced forecasting, mobile support noted in backlog list.",Commission Reassignment System (turn0file0 ?12),P2 - Nice to have,Completed,"Future enhancements documented in backlog."
SEC-01,Security & Permissions,RBAC / Audit,Role-based access control,"Sales Reps: view own commissions; Managers: initiate/approve commission changes + account reassignment; Admins: configure reassignment types, workflows, perform bulk ops.",Commission Reassignment System (turn0file0 ?9.1),P0 - Launch blocker,Completed,"RBAC system with granular permissions fully implemented."
SEC-02,Security & Permissions,RBAC / Audit,Audit trail coverage,"All reassignments & deletions log timestamp, actor, before/after states, reason; audit entries immutable and never deleted.",Commission Reassignment System (turn0file0 ?9.2); Global UI Specs (turn0file8 Deletion ?4.4),P0 - Launch blocker,Completed,"Comprehensive audit trail coverage fully implemented."
SEC-03,Security & Permissions,RBAC / Audit,Permissions on files/attachments,Attachments inherit parent record permissions; only authorized users can download; uploads/downloads included in audit trail.,Activities & Notes Spec (turn0file1 ?6.3),P1 - Must have,Completed,"File attachment permissions and audit logging fully implemented."
ACT-01,Activities & Notes,Universal Tab,Universal Activities & Notes tab presence,"Tab exists on Account, Contact, Opportunity, Revenue Schedule, and any entity requiring activity tracking; same layout everywhere.",Activities & Notes Spec (turn0file1 ?1.1?1.2),P1 - Must have,Completed,"Universal activities tab implemented across all relevant entities."
ACT-02,Activities & Notes,Universal Tab,Tab controls & type filters,"Top control bar with Create New, Search, Filter By Column, Apply Filter, Dynamic Columns, Active/Show All; type filter buttons for All/Call/Meeting/ToDo/Note/Other.",Activities & Notes Spec (turn0file1 ?2.1?2.2),P1 - Must have,Completed,"Full control bar with all filters and type selection fully implemented."
ACT-03,Activities & Notes,Universal Tab,Default & hidden columns with dynamic columns,"Default columns include Actions, Active, Activity Date, Type, Description, Account Name, Attachment, File Name; hidden fields available via gear: ID, Owner, Status, Created/Modified.",Activities & Notes Spec (turn0file1 ?2.3); Contacts Spec v2.0 (turn0file3 ?4.3),P1 - Must have,Completed,"Dynamic columns with default and hidden fields fully implemented."
ACT-04,Activities & Notes,Universal Tab,List behavior & pagination,Default sort by Activity Date descending; pagination shows ranges; per page options include 10/25/50/100; multiselect checkboxes for bulk ops.,Activities & Notes Spec (turn0file1 ?2.4),P1 - Must have,Completed,"Pagination, sorting, and multi-select functionality fully implemented."
ACT-05,Activities & Notes,Universal Tab,Create New Activity modal,"Two-column form with required fields: Activity Date, Type, Owner, Description; attachment upload allows multiple files; hidden fields auto-populate (ID, Related Entity, Created By/Date).",Activities & Notes Spec (turn0file1 ?3.2?3.3),P0 - Launch blocker,Completed,"Activity creation modal with attachment support fully implemented."
ACT-06,Activities & Notes,Universal Tab,Activity Detail page,"Two-column layout; editable fields (Date, Type, Owner, Description, Status); attachment list with upload/delete/download; actions: Update/Delete/Back.",Activities & Notes Spec (turn0file1 ?4),P1 - Must have,Completed,"Activity detail pages with full editing capabilities fully implemented."
ACT-07,Activities & Notes,Universal Tab,Activity types & statuses,"Types: Call, Meeting, ToDo, Note, Other; Status: Open or Completed with manual toggling; reopen completed allowed.",Activities & Notes Spec (turn0file1 ?5),P1 - Must have,Completed,"Activity types and status management fully implemented."
ACT-08,Activities & Notes,Universal Tab,File attachments & security,Multiple files per activity; files stored centrally; permissions inherit parent record; audit trail for uploads/downloads.,Activities & Notes Spec (turn0file1 ?6),P1 - Must have,Completed,"File attachment system with security and audit trails fully implemented."
ACT-09,Activities & Notes,Universal Tab,Context inheritance & cross-module visibility,"Activities created in context auto-link to parent; activities visible from related records (e.g., opp on account); cascading delete rules apply.",Activities & Notes Spec (turn0file1 ?7),P1 - Must have,Completed,"Context linking and cross-module visibility fully implemented."
ACT-10,Activities & Notes,Universal Tab,Reporting & dashboards,"Provide Activity metrics (counts by type/owner, open vs completed, timelines), standard reports and dashboard widgets.",Activities & Notes Spec (turn0file1 ?9),P2 - Nice to have,Completed,"Activity reporting and dashboard integration fully implemented."
ACT-11,Activities & Notes,Universal Tab,Workflow integration (future-ready),Hooks exist to trigger workflows on activity creation and status changes; auto-create follow-ups; calendar sync (future).,Activities & Notes Spec (turn0file1 ?12),P2 - Nice to have,Completed,"Workflow hooks implemented for future automation capabilities."
