Field Number,Page Name,Current Field Label,New Field Label,Field Name,Dev Reviewed Checklist
06.04.000,Reconciliation-6-4-Step 2 - Deposit Line Items Section - Step2 (Middle),Account ID - Vendor,Vendor - Account ID,Account_ID_Vendor,FALSE
06.04.006,Reconciliation-6-4-Step 2 - Deposit Line Items Section - Step2 (Middle),Product Name - Vendor,Vendor - Product Name,Product_Name_Vendor,FALSE
06.04.014,Reconciliation-6-4-Step 2 - Deposit Line Items Section - Step2 (Middle),Customer ID - Vendor,Vendor - Customer ID,Customer_ID_Vendor,FALSE
06.04.015,Reconciliation-6-4-Step 2 - Deposit Line Items Section - Step2 (Middle),Order ID - Vendor,Vendor - Order ID,Order_ID_Vendor,FALSE
06.05.004,Reconciliation-6-5-Step 2-Revenue Schedule Suggested  (Bottom),Product Name - Vendor,Vendor - Product Name,Product_Name_Vendor,FALSE
06.06.004,Reconciliation-6-6-Create a Flex Product Popup Page,Product Name - Vendor,Vendor - Product Name,Product_Name_Vendor,FALSE
06.07.017,Reports-8-4-Sample Report-Individual Deposit Detail Page - Summary (BOTTOM),Product Name - Vendor,Vendor - Product Name,Product_Name_Vendor,FALSE
09.01.005,Tickets-9-1-Main Page-List of Tickets,Product Name - Vendor,Vendor - Product Name,Product_Name_Vendor,FALSE
09.01.006,Tickets-9-1-Main Page-List of Tickets,Account ID - Vendor,Vendor - Account ID,Account_ID_Vendor,FALSE
09.01.007,Tickets-9-1-Main Page-List of Tickets,Customer ID - Vendor,Vendor - Customer ID,Customer_ID_Vendor,FALSE
09.01.010,Tickets-9-1-Main Page-List of Tickets,Order ID - Vendor,Vendor - Order ID,Order_ID_Vendor,FALSE
,,,,,
