Approved,Field ID,Page Name,Field Label,Field_Name,Where does the data come from?,Formula,Read Only,Prepopulated,Entry Required,Field Notes,Field Type,Example Data,Field Format,,,
,01.02.000,Accounts - 1-2-Main Page - Create New Account Form,Account Name,Account_Name,Data is entered here on the Create New Account Form Action,,No,No,Yes,,Text,Algave LLC,Proper Text Format,,,
,01.02.001,Accounts - 1-2-Main Page - Create New Account Form,Account Legal Name,Account_Legal_Name,Data is entered here on the Create New Account Form Action,,No,No,Yes,Reference - Account Record,Text,Ford,Proper Text Format,,,
,01.02.002,Accounts - 1-2-Main Page - Create New Account Form,Parent Account,Parent_Account,Data is entered here on the Create New Account Form Action,,No,No,No,From Account Record,Lookup,AB&T National Bank,Proper Text Format,,,
,01.02.003,Accounts - 1-2-Main Page - Create New Account Form,Account Type,Account_Type,Data is entered here on the Create New Account Form Action,,No,No,Yes,fff,Drop Down with Options,Customer,Proper Text Format,,,
,01.02.004,Accounts - 1-2-Main Page - Create New Account Form,Active (Y/N),Active_(Y/N),Data is entered here on the Create New Account Form Action,"Toggle defaults ""Yes"", Toggle for ""No""",No,No,Yes,"Default ""Yes""",Toggle Button,Yes,Proper Text Format,,,
,01.02.005,Accounts - 1-2-Main Page - Create New Account Form,Account Owner,Account_Owner,"Data is entered here on the Create New Account Form Action, Defaults to current user",Full Name field for Contact,No,Yes,Yes,"Defaults to Current House Record(user), but all House contacts are available from drop down.",Type Ahead Lookup,Rob Hosef,Full Name Field,,,
,01.02.006,Accounts - 1-2-Main Page - Create New Account Form,Industry,Industry,Data is entered here on the Create New Account Form Action,"List provided on Google Drive, sorted A-Z",No,No,Yes,,Drop Down with Options,Manufacturing,Proper Text Format,,,
,01.02.007,Accounts - 1-2-Main Page - Create New Account Form,Website URL,Website_URL,Data is entered here on the Create New Account Form Action,,No,No,Yes,must be a valid domain format,Hyperlink with URL rule,www.algave.cloud,URL,,,
,01.02.008,Accounts - 1-2-Main Page - Create New Account Form,Description,Description,Data is entered here on the Create New Account Form Action,,No,No,Yes,,Text,Telecom Consulting,Text Long,,,
,01.02.009,Accounts - 1-2-Main Page - Create New Account Form,Shipping Street,Shipping_Street,Data is entered here on the Create New Account Form Action,,No,No,Yes,,Text,1 Main Street,Proper Text Format,,,
,01.02.010,Accounts - 1-2-Main Page - Create New Account Form,Shipping Street 2,Shipping_Street_2,Data is entered here on the Create New Account Form Action,,No,No,Yes,,Text,Suite 100,Proper Text Format,,,
,01.02.011,Accounts - 1-2-Main Page - Create New Account Form,Shipping City,Shipping_City,Data is entered here on the Create New Account Form Action,,No,No,Yes,,Text,Woodstock,Proper Text Format,,,
,01.02.012,Accounts - 1-2-Main Page - Create New Account Form,Shipping State,Shipping_State,Data is entered here on the Create New Account Form Action,,No,No,Yes,"Options are provided on Feedback Sheet, Sorted A-Z",Drop Down with Options,GA,3 Letter Abbreviation,,,
,01.02.013,Accounts - 1-2-Main Page - Create New Account Form,Shipping Zip,Shipping_Zip,Data is entered here on the Create New Account Form Action,,No,No,Yes,Max 12 Digits,General,32082,General,,,
,01.02.014,Accounts - 1-2-Main Page - Create New Account Form,Shipping Country,Shipping_Country,Data is entered here on the Create New Account Form Action,"List provided on Google Drive, sorted A-Z",No,No,Yes,,Drop Down with Options,United States,Proper Text Format,,,
,01.02.015,Accounts - 1-2-Main Page - Create New Account Form,Billing Street,Billing_Street,Data is entered here on the Create New Account Form Action,,No,No,Yes,,Text,91 Somerville Drive,Proper Text Format,,,
,01.02.016,Accounts - 1-2-Main Page - Create New Account Form,Billing Street 2,Billing_Street_2,Data is entered here on the Create New Account Form Action,,No,No,Yes,,Text,PO Box 1,Proper Text Format,,,
,01.02.017,Accounts - 1-2-Main Page - Create New Account Form,Billing City,Billing_City,Data is entered here on the Create New Account Form Action,,No,No,Yes,,Text,Ponte Vedra,Proper Text Format,,,
,01.02.018,Accounts - 1-2-Main Page - Create New Account Form,Billing State,Billing_State,Data is entered here on the Create New Account Form Action,"List provided on Google Drive, sorted A-Z",No,No,Yes,,Drop Down with Options,FL,4 Letter Abbreviation,,,
,01.02.019,Accounts - 1-2-Main Page - Create New Account Form,Billing Zip,Billing_Zip,Data is entered here on the Create New Account Form Action,,No,No,Yes,Max 12 Digits,General,32081,General,,,
,01.02.020,Accounts - 1-2-Main Page - Create New Account Form,Billing Country,Billing_Country,Data is entered here on the Create New Account Form Action,"List provided on Google Drive, sorted A-Z",No,No,Yes,,Drop Down with Options,United States,Proper Text Format,,,
Approved,Field ID,Page Name,Field Label,Field_Name,Where does the data come from?,Formula,Read Only,Prepopulated,Entry Required,Field Notes,Field Type,Example Data,Field Format,,,
,01.03.000,Accounts - 1-3-Detail Page (Left Column Top),Account Name,Account_Name,Data is derived from the Create New Account Form Action,,,Yes,No,,Text,Algave LLC,Proper Text Format,,,
,01.03.001,Accounts - 1-3-Detail Page (Left Column Top),Account Legal Name,Account_Legal_Name,Data is derived from the Create New Account Form Action,,,Yes,No,Reference - Account Record,Text,Algave LLC,Proper Text Format,,,
,01.03.002,Accounts - 1-3-Detail Page (Left Column Top),Parent Account,Parent_Account,Data is derived from the Create New Account Form Action,,,Yes,No,,Lookup (Account Record Objects),AB&T National Bank,Proper Text Format,,,
,01.03.003,Accounts - 1-3-Detail Page (Left Column Top),Account Type,Account_Type,Data is derived from the Create New Account Form Action,,,Yes,No,"See Documentation for options - Customer, Distributor, House Rep, Other, Prospect, Subagent, Vendor",Drop Down with Options,Customer,Proper Text Format,,,
,01.03.004,Accounts - 1-3-Detail Page (Left Column Top),Active (Y/N),Active_(Y/N),Data is derived from the Create New Account Form Action,"Toggle defaults ""Yes"", Toggle for ""No""",,Yes,No,"Default ""Yes""",Toggle Button,Yes,Proper Text Format,,,
,01.03.005,Accounts - 1-3-Detail Page (Left Column Top),Account Owner,Account_Owner,Data is derived from the Create New Account Form Action,,,Yes,No,"Lookup (all Contacts with an Account Type = ""House"")",Type Ahead Lookup,Rob Hosef,Full Name Field,,,
,01.03.006,Accounts - 1-3-Detail Page (Left Column Top),Industry,Industry,Data is derived from the Create New Account Form Action,"List provided on Google Drive, sorted A-Z",,Yes,No,,Drop Down with Options,Computer and Electronic,Proper Text Format,,,
,01.03.007,Accounts - 1-3-Detail Page (Left Column Top),Website URL,Website_URL,Data is derived from the Create New Account Form Action,,,Yes,No,must be a valid domain format,Hyperlink with URL rule,www.algave.cloud,URL,,,
,01.03.008,Accounts - 1-3-Detail Page (Left Column Top),Description,Description,Data is derived from the Create New Account Form Action,,,Yes,No,,Text,Telecom Consulting,Text Long,,,
,,,,,,,,,,,,,,,,
,01.04.000,Accounts - 1-4-Detail Page(Right Column Top),Billing Street,Billing_Street,Data is derived from the Create New Account Form Action,,,Yes,No,,Text,91 Somerville Drive,Proper Text Format,,,
,01.04.001,Accounts - 1-4-Detail Page(Right Column Top),Billing Street 2,Billing_Street_2,Data is derived from the Create New Account Form Action,,,Yes,No,,Text,PO Box 1,Proper Text Format,,,
,01.04.002,Accounts - 1-4-Detail Page(Right Column Top),Billing City,Billing_City,Data is derived from the Create New Account Form Action,,,Yes,No,,Text,Ponte Vedra,Proper Text Format,,,
,01.04.003,Accounts - 1-4-Detail Page(Right Column Top),Billing State,Billing_State,Data is derived from the Create New Account Form Action,"List provided on Google Drive, sorted A-Z",,Yes,No,,Drop Down with Options,FL,4 Letter Abbreviation,,,
,01.04.004,Accounts - 1-4-Detail Page(Right Column Top),Billing Zip,Billing_Zip,Data is derived from the Create New Account Form Action,,,Yes,No,Max 12 Digits,General,32081,General,,,
,01.04.005,Accounts - 1-4-Detail Page(Right Column Top),Billing Country,Billing_Country,Data is derived from the Create New Account Form Action,"List provided on Google Drive, sorted A-Z",,Yes,No,,Drop Down with Options,United States,Proper Text Format,,,
,01.04.006,Accounts - 1-4-Detail Page(Right Column Top),Shipping Street,Shipping_Street,Data is derived from the Create New Account Form Action,,,Yes,No,,Text,91 Somerville Drive,Proper Text Format,,,
,01.04.007,Accounts - 1-4-Detail Page(Right Column Top),Shipping Street 2,Shipping_Street_2,Data is derived from the Create New Account Form Action,,,Yes,No,,Text,PO Box 1,Proper Text Format,,,
,01.04.008,Accounts - 1-4-Detail Page(Right Column Top),Shipping City,Shipping_City,Data is derived from the Create New Account Form Action,,,Yes,No,,Text,Ponte Vedra,Proper Text Format,,,
,01.04.009,Accounts - 1-4-Detail Page(Right Column Top),Shipping State,Shipping_State,Data is derived from the Create New Account Form Action,,,Yes,No,"Options are provided on Feedback Sheet, Sorted A-Z",Drop Down with Options,GA,5 Letter Abbreviation,,,
,01.04.010,Accounts - 1-4-Detail Page(Right Column Top),Shipping Zip,Shipping_Zip,Data is derived from the Create New Account Form Action,,,Yes,No,Max 12 Digits,General,32083,General,,,
,01.04.011,Accounts - 1-4-Detail Page(Right Column Top),Shipping Country,Shipping_Country,Data is derived from the Create New Account Form Action,"List provided on Google Drive, sorted A-Z",,Yes,No,,Drop Down with Options,United States,Proper Text Format,,,
Approved,Field ID,Page Name,Field Label,Field_Name,Where does the data come from?,Formula,Read Only,Prepopulated,Entry Required,Field Notes,Field Type,Example Data,Field Format,,,
,01.05.000,Accounts - 1-5-Detail Page - Contacts Tab,Suffix,Suffix,"Dynamic Column Selection Here. Data derived from ""Create New"" Contact Form(Contacts Tab)","List provided on Google Drive, sorted A-Z",,No,Yes,"Mr, Ms., Mrs., Dr. are options.  Default to blank",Drop Down with Options,Mr.,,,,
,01.05.001,Accounts - 1-5-Detail Page - Contacts Tab,Full Name,Full_Name,"Dynamic Column Selection Here. Data derived from ""Create New"" Contact Form(Contacts Tab)","Concatenate Contact First Name "" "" Last Name",Yes,No,Yes,Concatenate the First name Last Name,Text,Jimmy Ford,Proper Text Format,,,
,01.05.002,Accounts - 1-5-Detail Page - Contacts Tab,First Name,First_Name,"Dynamic Column Selection Here. Data derived from ""Create New"" Contact Form(Contacts Tab)","Shown when ""Editing"" page",Hidden,No,Yes,First Name,Text,Jimmy Ford,Proper Text Format,,,
,01.05.003,Accounts - 1-5-Detail Page - Contacts Tab,Last Name,Last_Name,"Dynamic Column Selection Here. Data derived from ""Create New"" Contact Form(Contacts Tab)","Shown when ""Editing"" page",Hidden,No,Yes,Last Name,Text,Jimmy Ford,Proper Text Format,,,
,01.05.004,Accounts - 1-5-Detail Page - Contacts Tab,Work Phone,Work_Phone,"Dynamic Column Selection Here. Data derived from ""Create New"" Contact Form(Contacts Tab)",,,No,Yes,From New Contact Record Form,Phone,678-453-5555,xxx-xxx-xxxx,,,
,01.05.005,Accounts - 1-5-Detail Page - Contacts Tab,Extension,Extension,"Dynamic Column Selection Here. Data derived from ""Create New"" Contact Form(Contacts Tab)",,,No,Yes,From New Contact Record Form,Numerical,122,Numerical,,,
,01.05.006,Accounts - 1-5-Detail Page - Contacts Tab,Job Title,Job_Title,"Dynamic Column Selection Here. Data derived from ""Create New"" Contact Form(Contacts Tab)",,,No,Yes,From New Contact Record Form,Text,CEO,Proper Text Format,,,
,01.05.007,Accounts - 1-5-Detail Page - Contacts Tab,Contact Type,Contact_Type,Dynamic Column Selection Here. Data is derived from related Account record,,Yes,Yes,No,Inherited from related Account,Drop Down with Options,House,,,,
,01.05.008,Accounts - 1-5-Detail Page - Contacts Tab,Mobile,Mobile,"Dynamic Column Selection Here. Data derived from ""Create New"" Contact Form(Contacts Tab)",,,No,Yes,From New Contact Record Form,Phone,678-453-5555,xxx-xxx-xxxx,,,
,01.05.009,Accounts - 1-5-Detail Page - Contacts Tab,Email Address,Email_Address,"Dynamic Column Selection Here. Data derived from ""Create New"" Contact Form(Contacts Tab)",,,No,Yes,From New Contact Record Form,Email,babu24041994@gmail.com,proper email format,,,
Approved,Field ID,Page Name,Field Label,Field_Name,Where does the data come from?,Formula,Read Only,Prepopulated,Entry Required,Field Notes,Field Type,Example Data,Field Format,,,
,01.06.001,Accounts - 1-6-Detail Page - Contacts Tab - New Contact Popup,Suffix,Suffix,Data is entered here on the Create New Contact Form Action,"List provided on Google Drive, sorted A-Z",,No,Yes,"Mr, Ms., Mrs., Dr. are options.  Default to blank",Drop Down with Options,Mr.,Proper Text Format,,,
,01.06.002,Accounts - 1-6-Detail Page - Contacts Tab - New Contact Popup,First Name,First_Name,Data is entered here on the Create New Contact Form Action,,,No,Yes,,Text,Jim,Proper Text Format,,,
,01.06.003,Accounts - 1-6-Detail Page - Contacts Tab - New Contact Popup,Last Name,Last_Name,Data is entered here on the Create New Contact Form Action,,,No,Yes,,Text,Ford,Proper Text Format,,,
,01.06.004,Accounts - 1-6-Detail Page - Contacts Tab - New Contact Popup,Work Phone,Work_Phone,Data is entered here on the Create New Contact Form Action,,,No,Yes,,Phone,678-453-5555,xxx-xxx-xxxx,,,
,01.06.005,Accounts - 1-6-Detail Page - Contacts Tab - New Contact Popup,Extension,Extension,Data is entered here on the Create New Contact Form Action,,,No,Yes,,Number,123,Numerical,,,
,01.06.006,Accounts - 1-6-Detail Page - Contacts Tab - New Contact Popup,Job Title,Job_Title,Data is entered here on the Create New Contact Form Action,,,No,Yes,,Text,CEO,Proper Text Format,,,
,01.06.007,Accounts - 1-6-Detail Page - Contacts Tab - New Contact Popup,Contact Type,Contact_Type,"Not editable, prepopulated from the related account record",,Yes,Yes,No,Data from related Account Record,Text,Customer,Proper Text Format,,,
,01.06.008,Accounts - 1-6-Detail Page - Contacts Tab - New Contact Popup,Mobile,Mobile,Data is entered here on the Create New Contact Form Action,,,No,Yes,,Phone,678-453-5556,xxx-xxx-xxxx,,,
,01.06.009,Accounts - 1-6-Detail Page - Contacts Tab - New Contact Popup,Email Address,Email_Address,Data is entered here on the Create New Contact Form Action,,,No,Yes,,Email,jim@ford.com,proper email format,,,
Approved,Field ID,Page Name,Field Label,Field_Name,Where does the data come from?,Formula,Read Only,Prepopulated,Entry Required,Field Notes,Field Type,Example Data,Field Format,,,
,01.07.000,Accounts - 1-7-Detail Page - Opportunities Tab (List at bottom columns),Close Date,Close_Date,"Dynamic Column Selection Here, data comes from New Opportunity Form Action",,,Yes,No,,Text,2025-04-07,YYYY-MM-DD,,,
,01.07.001,Accounts - 1-7-Detail Page - Opportunities Tab (List at bottom columns),Order ID - House,Order_ID_House,"Dynamic Column Selection Here, data comes from New Opportunity Form Action",,Yes,Yes,No,Auto Generated,General,H30,General,,,
,01.07.002,Accounts - 1-7-Detail Page - Opportunities Tab (List at bottom columns),Opportunity Name,Opportunity_Name,"Dynamic Column Selection Here, data comes from New Opportunity Form Action",hyperlink to opp detail record,,Yes,No,,Text,Ford-Telarus-Lingo-CCaaS-1Seat,Proper Text Format,,,
,01.07.003,Accounts - 1-7-Detail Page - Opportunities Tab (List at bottom columns),Opportunity Stage,Opportunity_Stage,"Dynamic Column Selection Here, data comes from New Opportunity Form Action",By ascending number order,,Yes,No,Options are : 1. Needs Analysis 2. Qualification 3. Proposal 4. Awaiting Approval 5. On Hold 6. Approved 7. Billing 8. Closed Billing Ended 9. Lost,Drop Down with Options,1. Needs Analysis,Proper Text Format,,,
,01.07.004,Accounts - 1-7-Detail Page - Opportunities Tab (List at bottom columns),Distributor Name,Distributor_Name,"Dynamic Column Selection Here, data comes from New Opportunity Form Action",,,Yes,No,Displays from Opportunity Record,Type Ahead Lookup,Lingo,Proper Text Format,,,
,01.07.005,Accounts - 1-7-Detail Page - Opportunities Tab (List at bottom columns),Vendor Name,Vendor_Name,"Dynamic Column Selection Here, data comes from New Opportunity Form Action",,,Yes,No,Displays from Opportunity Record,Type Ahead Lookup,Lingo,Proper Text Format,,,
,01.07.006,Accounts - 1-7-Detail Page - Opportunities Tab (List at bottom columns),Referred By,Referred_By,"Dynamic Column Selection Here, data comes from New Opportunity Form Action",,,Yes,No,all contacts available here,display only,Rob Hosef,Proper Text Format,,,
,01.07.007,Accounts - 1-7-Detail Page - Opportunities Tab (List at bottom columns),Owner,Owner,"Dynamic Column Selection Here, data comes from New Opportunity Form Action",Full Name field for Contact,,Yes,No,"Lookup (all Contacts with an Account Type = ""House"")",Type Ahead Lookup,Rob Hosef,Full Name Field,,,
Approved,Field ID,Page Name,Field Label,Field_Name,Where does the data come from?,Formula,Read Only,Prepopulated,Entry Required,Field Notes,Field Type,Example Data,Field Format,,,
,01.08..000,Accounts - 1-8-Detail Page - New Opportunity Popup,Account Legal Name,Account_Legal_Name,"Not editable, prepopulated from the related account record",,Yes,Yes,No,Reference - Account Record,Text,Algave LLC,Proper Text Format,,,
,01.08..001,Accounts - 1-8-Detail Page - New Opportunity Popup,Close Date,Close_Date,Data is entered here on the Create New Opportunity Form Action,,,No,Yes,,Date,2025-04-23,YYYY-MM-DD,,,
,01.08..002,Accounts - 1-8-Detail Page - New Opportunity Popup,Opportunity Name,Opportunity_Name,Data is entered here on the Create New Opportunity Form Action,hyperlink to opp detail record,,No,Yes,,Text,Ford-Telarus-Lingo-CCaaS-1Seat,Proper Text Format,,,
,01.08..003,Accounts - 1-8-Detail Page - New Opportunity Popup,Opportunity Stage,Opportunity_Stage,"Data is entered here on the Create New Opportunity Form Action, Default entry is ""1. Needs Analysis""",,,No,Yes,Options are : 1. Needs Analysis 2. Qualification 3. Proposal 4. Awaiting Approval 5. On Hold 6. Approved 7. Billing 8. Closed Billing Ended 9. Lost,Drop Down with Options,1. Needs Analysis,Proper Text Format,,,
,01.08..004,Accounts - 1-8-Detail Page - New Opportunity Popup,Account Name,Account_Name,"Not editable, prepopulated from the related account record",,Yes,Yes,No,From Account Record,Text,Algave LLC,Proper Text Format,,,
,01.08..005,Accounts - 1-8-Detail Page - New Opportunity Popup,Owner,Owner,"Not editable, prepopulated from the related account record, can edit",Full Name field for Contact,,Yes,Yes,"Lookup (all Contacts with an Account Type = ""House"")",Type Ahead Lookup,Rob Hosef,Full Name Field,,,
,01.08..006,Accounts - 1-8-Detail Page - New Opportunity Popup,Subagent,Subagent,"Data is entered here on the Create New Opportunity Form Action, Defaults to ""None""",,,Yes,Yes,"any contact with type ""Subagent"" or default = ""None""",Type Ahead Lookup,Mike McDonald,Proper Text Format,,,
,01.08..007,Accounts - 1-8-Detail Page - New Opportunity Popup,Referred By,Referred_By,Data is entered here on the Create New Opportunity Form Action,,,No,Yes,All Contacts - Sorted A-Z,Type Ahead Lookup,Rob Hosef,Proper Text Format,,,
,01.08..008,Accounts - 1-8-Detail Page - New Opportunity Popup,House Split %,House_Split_Percent,Data is entered here on the Create New Opportunity Form Action,(100.00% - (Subagent % + House Rep %)),,No,Yes,This value is calculated by taking 100% and subtracting the % from the two reps,Formula,34.00%,X.XX%,,,
,01.08..009,Accounts - 1-8-Detail Page - New Opportunity Popup,House Rep %,House_Rep_%,Data is entered here on the Create New Opportunity Form Action,,,No,Yes,,Percentage,11.00%,X.XX%,,,
,01.08..010,Accounts - 1-8-Detail Page - New Opportunity Popup,Subagent %,Subagent_%,Data is entered here on the Create New Opportunity Form Action,,,No,Yes,,Percentage,55.00%,XX.XX%,,,
,01.08..011,Accounts - 1-8-Detail Page - New Opportunity Popup,Opportunity Description,Opportunity_Description,Data is entered here on the Create New Opportunity Form Action,,,No,Yes,,Text Long,This is for Consulting,Text Long,,,
Approved,Field ID,Page Name,Field Label,Field_Name,Where does the data come from?,Formula,Read Only,Prepopulated,Entry Required,Field Notes,Field Type,Example Data,Field Format,,,
,01.09.000,Accounts - 1-9-0-Detail Page - Groups Tab,Active (Y/N),Active_(Y/N),Dynamic Column Feature here…all fields should be avaialble to display. Data from New Group Form,"Toggle defaults ""Yes"", Toggle for ""No""",Yes,No,Yes,"Default ""Yes""",Toggle Button,Yes,Proper Text Format,,,
,01.09.001,Accounts - 1-9-0-Detail Page - Groups Tab,Group Name,Group_Name,Dynamic Column Feature here…all fields should be avaialble to display. Data from New Group Form,,Yes,No,Yes,,Text,Customers North Amer,Proper Text Format,,,
,01.09.002,Accounts - 1-9-0-Detail Page - Groups Tab,Public/Private,Public_Private,Dynamic Column Feature here…all fields should be avaialble to display. Data from New Group Form,,Yes,No,Yes,"Yes, No",Drop Down with Options,Yes,Proper Text Format,,,
,01.09.003,Accounts - 1-9-0-Detail Page - Groups Tab,Group Description,Group_Description,Dynamic Column Feature here…all fields should be avaialble to display. Data from New Group Form,,Yes,No,Yes,,Text Long,clients who work in Georgia,Proper Text Format,,,
,01.09.004,Accounts - 1-9-0-Detail Page - Groups Tab,Group Owner,Group_Owner,Dynamic Column Feature here…all fields should be avaialble to display. Data from New Group Form,,Yes,No,Yes,"Look up contact with ""House"" Account Type, A-Z",Lookup,Rob Hosef,Proper Text Format,,,
Approved,Field ID,Page Name,Field Label,Field_Name,Where does the data come from?,Formula,Read Only,Prepopulated,Entry Required,Field Notes,Field Type,Example Data,Field Format,,,
,01.09.010,Accounts - 1-9-1-Detail Page - Groups Tab - New Group Popup,Public/Private,Public_Private,"Data is entered here on the Create New Group Form Action *MISSING*, Defaults to ""Public(Yes)""",,,Yes,Yes,Toggle On (Public) and Off (Private) to show/hide from other users,Drop Down with Options,Yes,Proper Text Format,,,
,01.09.011,Accounts - 1-9-1-Detail Page - Groups Tab - New Group Popup,Group Name,Group_Name,Data is entered here on the Create New Group Form Action,,,No,Yes,,Text,Customers North Amer,Proper Text Format,,,
,01.09.012,Accounts - 1-9-1-Detail Page - Groups Tab - New Group Popup,Group Type,Group_Type,Data is entered here on the Create New Group Form Action,,,No,Yes,,,,,,,
,01.09.013,Accounts - 1-9-1-Detail Page - Groups Tab - New Group Popup,Group Owner,Group_Owner,Data is entered here on the Create New Group Form Action,,,No,Yes,"Look up contact with ""House"" Account Type, A-Z",Lookup,Rob Hosef,Proper Text Format,,,
,01.09.014,Accounts - 1-9-1-Detail Page - Groups Tab - New Group Popup,Group Description,Group_Description,Data is entered here on the Create New Group Form Action,,,No,Yes,,Text Long,clients who work in Georgia,Proper Text Format,,,
,01.09.015,Accounts - 1-9-1-Detail Page - Groups Tab - New Group Popup,Active (Y/N),Active_(Y/N),Data is entered here on the Create New Group Form Action,,,No,Yes,,,,,,,
Approved,Field ID,Page Name,Field Label,Field_Name,Where does the data come from?,Formula,Read Only,Prepopulated,Entry Required,Field Notes,Field Type,Example Data,Field Format,,,
,01.09.070,Accounts - 1-9-7-Detail Page - Activities and Notes Tab,Activity ID,Activity_ID,Autogenerated from New Activity Form Action (HIDDEN),,yes,Yes,No,,Numerical,1111,Numerical,,,
,01.09.071,Accounts - 1-9-7-Detail Page - Activities and Notes Tab,Activity Date,Activity_Date,Autogenerated from New Activity Form Action,,yes,Yes,No,,Date,2025-04-24,YYYY-MM-DD,,,
,01.09.072,Accounts - 1-9-7-Detail Page - Activities and Notes Tab,Activity Type,Activity_Type,Autogenerated from New Activity Form Action,Always sort options A-Z,yes,Yes,No,"""Call"", ""Meeting"", ""ToDo"", ""Note"" or ""Other""",Drop Down with Options,Call,Proper Text Format,,,
,01.09.073,Accounts - 1-9-7-Detail Page - Activities and Notes Tab,Activity Description,Activity_Description,Autogenerated from New Activity Form Action,,yes,Yes,No,,Text Long,This is a Sale of 1 UcaaS Seat,Text - Long,,,
,01.09.074,Accounts - 1-9-7-Detail Page - Activities and Notes Tab,Created By,Created_By,Autogenerated from New Activity Form Action,,yes,Yes,No,"Look up contact with ""House"" Account Type, A-Z",Drop Down with Options,Rob Hosef,Proper Text Format,,,
Approved,Field ID,Page Name,Field Label,Field_Name,Where does the data come from?,Formula,Read Only,Prepopulated,Entry Required,Field Notes,Field Type,Example Data,Field Format,,,
,01.09.0080,Accounts - 1-9-8-Detail Page - New Activity & Notes Popup,Activity ID,Activity_ID,"Autogenerated (HIDDEN) from form ""New Activity Form"" submission (HIDDEN)",Hidden fields,Yes,Yes,No,Autogenerated,Numerical,11111111,Numerical,,,
,01.09.0081,Accounts - 1-9-8-Detail Page - New Activity & Notes Popup,Activity Date,Activity_Date,Data is entered here. Defaults to today's date.  User can edit,,,Yes,Yes,Date field,Date,2025-04-25,YYYY-MM-DD,,,
,01.09.0082,Accounts - 1-9-8-Detail Page - New Activity & Notes Popup,Activity Type,Activity_Type,Data is entered here. User can select options from the Drop down,Always sort options A-Z,,No,Yes,"""Call"", ""Meeting"", ""ToDo"", ""Note"" or ""Other""",Drop Down with Options,Call,Proper Text Format,,,
,01.09.0083,Accounts - 1-9-8-Detail Page - New Activity & Notes Popup,Created By,Created_By,"Data can be changed here, but the Form field defaults to current User Full Name",,,Yes,Yes,"Look up contact with ""House"" Account Type, A-Z",Drop Down with Options,Rob Hosef,Proper Text Format,,,
,01.09.0084,Accounts - 1-9-8-Detail Page - New Activity & Notes Popup,Activity Description,Activity_Description,Data is entered here in long Text field,,,No,Yes,,Text Long,This is a Sale of 1 UcaaS Seat,Text - Long,,,
Approved,Field ID,Page Name,Field Label,Field_Name,Where does the data come from?,Formula,Read Only,Prepopulated,Entry Required,Field Notes,Field Type,Example Data,Field Format,,,
,02.01.000,Contacts - 2-1-Main Page-Contacts List,Suffix,Suffix,Dynamic Column Feature here…all fields should be avaialble to display. Data from New Contact Form,"List provided on Google Drive, sorted A-Z",,Yes,No,"Mr, Ms., Mrs., Dr. are options.  Default to blank",Drop Down with Options,Mr.,Proper Text Format,,,
,02.01.001,Contacts - 2-1-Main Page-Contacts List,Full Name,Full_Name,Dynamic Column Feature here…all fields should be avaialble to display. Data from New Contact Form,"Concatenate Contact First Name "" "" Last Name",Yes,Yes,No,Concatenate the First name Last Name,Formula,Jim Ford,Proper Text Format,,,
