Issue Key,Issue Type,Epic/Area,Summary,Description,Acceptance Criteria,Priority,Source,Assumptions,Dependencies
WL-011,Task,Revenue Schedules,Schedule creation: restrict schedule date selection to YYYY-MM (system sets day=1),"Schedules should only be allowed on the first of the month for the date, do not give the user the ability to pick another date in the month. Perhaps the dropdown allows the month/year and defaults to the first of that month when creating the schedules (as previewed on the bottom of the popup)?",• User selects Month/Year only.\n• System sets schedule date to the 1st of the selected month.\n• Users cannot select other days within the month during schedule creation/clone.,P1,02_04 Work Log.docx,,
WL-012,Task,Revenue Schedules,"Create/Clone Schedules: label & field cleanup (Cadence → # Periods, remove Series Name, update Commission Rate tooltip)","“Cadence” field label should be “# of Periods”\n\n“Schedule Series Name”?  That can be removed.\n\nThe tooltip under “Commission Rate %” should be changed to 0.00% - 100.00%\n\nFields requested in the popup:\nColumns and Fields\nColumn 1 (Left)\nOpportunity Product (choose dropdown)\nSelect existing schedule (choose dropdown of that products existing schedules).  Once selected, it’ll populate as described above to the fields below\nNew Schedule Start Date (choose YYYY-MM)\nNumber of Schedule (whole numbers only)\nExpected Commission Rate %  (Prefilled – XX.XX%)\nColumn 2 (Right)\nQuantity (pre-filled)\nPrice Each (pre-filled)\nExpected Usage – Adjustment\nExpected Usage – Gross\nCommission Split – House % (prefilled from Opp)\nCommission Split – House Rep % (prefilled)\nCommission Split – Subagent % (prefilled)\nLower Section (Bottom)\nSchedule Preview and “Cancel” “Create” buttons",• 'Cadence' label is renamed to '# of Periods'.\n• 'Schedule Series Name' field is removed.\n• Commission Rate tooltip shows '0.00% - 100.00%'.\n• Popup contains the fields and layout described in the work log.,P2,02_04 Work Log.docx,,
WL-013,Task,Revenue Schedules,Manage Revenue Schedules popup: preserve schedule selections from previous page + add Select All,"For Opportunity Edge, the Revenue Schedule Tab, the Manage Revenue Schedule Popup\n\nNOTE: I’m still not sure why we list the schedules here again, and they’re not selected.  We select them in the previous movement on the Detail page, then the popup doesn’t carry that through.\n\nWe also need a “Select All” button to check all the boxes that were checked before on the previous page when managing the revenue schedules.",• Schedules selected on the prior 'Manage Revenue Schedules' step are pre-selected in the popup.\n• 'Select All' is available to quickly check all schedules.\n• No need to re-select the same schedules multiple times.,P1,02_04 Work Log.docx,,
WL-014,Task,Revenue Schedules,Manage Revenue Schedules popup: improve Apply To area + make schedule list larger and add table headers/columns,"Also, there’s a “Apply To” section label below on the left, is that where the schedules that were selected should be displayed?\n\nI think the schedules should have been listed below the fields for effective date, new comm rate and apply to, so we can make that list of schedules bigger and not have to scroll to select them all.\n\nFor that schedule list, please add headers to the table and the appropriate data on the individual rows.  Headers should read (Title)  “Select Schedules”,  and then headers in the table reading “Schedule Name”, “Schedule Date”, “Current Commission Rate %”, and “New Commission Rate %” .\n\nAdding the date for each schedule under the schedule name makes the columns 2x tall, let’s try to keep it consistent with the rest of the popups and keep all the data on the singular row for each schedule using these header labels and columns.","• 'Apply To' section clearly displays which schedules will be updated.\n• Schedule list is placed below the effective date/new rate controls to increase visible rows.\n• Schedule list has headers and columns: Schedule Name, Schedule Date, Current Commission Rate %, New Commission Rate %.\n• Schedule Date is in its own column (not under Schedule Name) to avoid doubling row height.",P1,02_04 Work Log.docx,,
WL-015,Task,Revenue Schedules,Change Commission Rate: entering expected rate auto-fills New Commission Rate % and enables Update Rates,"For the “Change Commission Rate” tab\n\nOnce the user enters the expected commission rate % in the field, that rate should autofill the blank space for “New Commission Rate %”, then the user can click “Update Rates”.","• When user enters Expected Commission Rate %, the New Commission Rate % cells auto-fill with that value.\n• User can click 'Update Rates' to apply changes to selected schedules.\n• Changes persist and reflect on schedule detail/list views.",P1,02_04 Work Log.docx,,
WL-016,Task,Revenue Schedules / UI,Revenue Schedule management popup: make modal draggable/movable to view background schedule dates,"For Opportunity Detail Page, Revenue Schedule Tab, we need to be able to move the popup, as when it asks for effective date, you can’t see the schedule date in the background.",• User can drag the popup/modal to reposition it.\n• Popup position persists for the current session (ASSUMED).\n• User can see schedule dates in the background while selecting effective date.,P2,02_04 Work Log.docx,ASSUMED: remember last position during session.,
WL-017,Task,Catalog,"[DONE] Catalog: fix Expected Commission Rate % formatting (16.00% displays as 1,600.00%)","On the Catalog Main page,  the Expected Commission Rate % formatting is displaying 1,600.00% instead of 16.00% on new products.","• Commission rate percent is stored and displayed consistently (e.g., 16.00% shows as 16.00%, not 1,600.00%).\n• Create New Product flow and Catalog detail/list views show correct percent formatting.\n• Deposit Reconciliation “Actual Commission Rate %” values display with two decimals (e.g., 16.00%).\n• No existing data is corrupted during the fix.",P0,02_04 Work Log.docx,"DONE (2026-02-05): Commission rates stored as percent points (0–100) and formatted as percent with points/100; display uses two decimals (XX.XX%).","None"
WL-018,Task,Catalog,Catalog Product Detail: enforce Revenue Type options from Admin list + required house fields,"Also, when viewing the catalog product detail, the Revenue Type should be only one of the designated options (MRC – 3rd party, MRC – House, NRC – SPIFF, etc)  That list is in the admin section and needs to apply to the field “Revenue Type”.  Product cannot be created with this designation and a House – Description and House – Part Number as well.","• Revenue Type is constrained to the configured Admin list (e.g., MRC – 3rd party, MRC – House, NRC – SPIFF, etc.).\n• Product creation requires Revenue Type and the required House fields (House – Description, House – Part Number).\n• UI prevents saving invalid combinations and shows a clear validation message.",P1,02_04 Work Log.docx,,
WL-019,Task,Global UI,"Add dropdown arrows to reduce free-typing on picklists (Product Family/Subtype/Revenue Type, etc.)","Can you add the down arrows like on Distributor Name and Vendor Name to all of the fields below?  Product family, subtype, revenue type, please?  This should be throughout the system.  Just noticed it.  We would rather have them drop the box down and choose than type, which might lead to unexpected duplicates or near-duplicates.",• Fields that support selection show a dropdown indicator (down arrow).\n• Users can click to open options instead of typing.\n• Behavior is consistent across the system where similar fields exist.,P2,02_04 Work Log.docx,,
WL-020,Task,Catalog / Reconciliation,Product creation: default Other – Product Name to House – Product Name; overwrite Other name from deposit on match,"When we create a new product, does the Other – Product Name get this same name as the House – Product Name by default?  When / If a deposit line item is matched, and that name is different, we should make sure the deposit line overwrites the “Other – Product Name” field.","• When creating a new product, Other – Product Name defaults to the House – Product Name.\n• If a matched deposit line has a different 'Other – Product Name', the system overwrites/updates the product’s Other – Product Name.\n• Change is auditable (ASSUMED: changes should be logged).",P2,02_04 Work Log.docx,ASSUMED: updates to product fields from deposit matching should be audit-logged.,
