scenarioId,group,title,lane,status,validationScope,reason,executionMode,flowId,depositId,lineId,scheduleIds,notes,artifactPaths
"RS-011","Financial Variance","Usage slightly off but inside admin threshold","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","c51b5f32-666f-4ccc-9069-56ba50bdec17","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-012","Financial Variance","Usage off beyond allowed threshold","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-013","Financial Variance","Deposit reports zero usage where schedule expects usage","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-014","Financial Variance","Deposit shows usage before expected schedule amount","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-015","Financial Variance","Negative usage/credit hits existing schedule","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","0b3d997c-1fa2-4ec4-b3ef-fb9c55d435b1","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-016","Financial Variance","Total usage matches but one schedule receives too much","deterministic","not-recorded","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-017","Financial Variance","Total usage matches but one schedule receives too little","deterministic","not-recorded","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-018","Financial Variance","Deposit cannot split evenly across schedules","deterministic","not-recorded","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-019","Financial Variance","Multiple deposits sum above expected schedule usage","needs-clarification","not-recorded","runtime-path-validation","","browser-live","generic-mto1-combined-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-020","Financial Variance","Multiple deposits sum below expected schedule usage","deterministic","not-recorded","scenario-proof","","browser-live","rs020-manytoone-underage","74116291-3f21-4e52-91c5-1953ccf34174","0c0d7325-3fa6-4684-9d8c-c830d65dcdb0","bc5393d9-891b-4dea-ab07-9fd981017708","",""
"RS-021","Financial Variance","Current month usage high due to prior-period true-up","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-022","Financial Variance","Actual usage differs by pennies from expected rounding","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","c51b5f32-666f-4ccc-9069-56ba50bdec17","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-023","Financial Variance","Commission paid higher than expected while usage is exact","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","42bc2596-04aa-4fb4-b9e2-64c507e0ab03","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-024","Financial Variance","Commission paid lower than expected while usage is exact","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","fe5e4fe1-d816-4826-ba7f-5dcc73e4e83e","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-025","Financial Variance","Commission amount matches even though usage does not","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-026","Financial Variance","Carrier billed usage but paid no commission","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","fe5e4fe1-d816-4826-ba7f-5dcc73e4e83e","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-027","Financial Variance","Commission paid despite zero reported usage","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","0b3d997c-1fa2-4ec4-b3ef-fb9c55d435b1","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-028","Financial Variance","Carrier claws back previously paid commission","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-029","Financial Variance","Total commission correct but schedule split wrong","deterministic","not-recorded","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-030","Financial Variance","Multiple deposit lines sum to too much commission","deterministic","not-recorded","scenario-proof","","browser-live","rs030-manytoone-commission-overage","966231bc-cb23-4f41-b443-44136ea118cb","f4c68d80-d16d-4fef-a12e-d4e11bb91363","bc5393d9-891b-4dea-ab07-9fd981017708","",""
"RS-031","Financial Variance","Multiple deposit lines sum to too little commission","deterministic","not-recorded","scenario-proof","","browser-live","rs031-manytoone-commission-underage","d5a68c1c-5f95-49d2-86d1-a96cb7bba7a0","fb645457-ba8c-4639-97cf-4569cebc8846","bc5393d9-891b-4dea-ab07-9fd981017708","",""
"RS-032","Financial Variance","Special payout creates extra commission dollars","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-033","Financial Variance","Current commission includes prior recovery amount","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-034","Rate Variance","Actual rate lower than expected","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","fe5e4fe1-d816-4826-ba7f-5dcc73e4e83e","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-035","Rate Variance","Actual rate higher than expected","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","42bc2596-04aa-4fb4-b9e2-64c507e0ab03","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-036","Rate Variance","Classic lower-rate mismatch","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","fe5e4fe1-d816-4826-ba7f-5dcc73e4e83e","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-037","Rate Variance","Classic higher-rate mismatch","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","42bc2596-04aa-4fb4-b9e2-64c507e0ab03","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-038","Rate Variance","Derived rate disagrees with stored expected rate but paid dollars are internally consistent","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-039","Rate Variance","Carrier-provided rate field does not equal actual commission/usage math","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-040","Rate Variance","Actual rate changes and should apply forward","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-041","Rate Variance","Actual rate differs for a single schedule only","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-042","Rate Variance","One deposit line spans schedules with different expected rates","deterministic","not-recorded","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-043","Rate Variance","Multiple deposit lines create weighted actual rate different from expected","needs-clarification","not-recorded","runtime-path-validation","","browser-live","generic-mto1-combined-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-044","Rate Variance","Carrier pays no commission rate on active bill","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","fe5e4fe1-d816-4826-ba7f-5dcc73e4e83e","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-045","Rate Variance","Derived actual rate materially above expected norms","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","42bc2596-04aa-4fb4-b9e2-64c507e0ab03","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-046","Combined Variance","Usage lower and rate different","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","fe5e4fe1-d816-4826-ba7f-5dcc73e4e83e","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-047","Combined Variance","Usage higher and rate different","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","42bc2596-04aa-4fb4-b9e2-64c507e0ab03","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-048","Combined Variance","Usage exact but paid commission not supported by expected or derived rate","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-049","Combined Variance","Paid commission ties to deposit math, but not to schedule expectation","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-050","Combined Variance","Usage, rate, and commission all inconsistent","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-051","Combined Variance","Usage and commission both misallocated across multiple schedules","deterministic","not-recorded","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-052","Combined Variance","Some deposit lines align, others conflict against one schedule","needs-clarification","not-recorded","runtime-path-validation","","browser-live","generic-mto1-combined-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-053","Combined Variance","Part of deposit reconciles exactly and remainder carries variance","deterministic","not-recorded","scenario-proof","","browser-live","generic-partial-review","699a0e77-69d6-485c-ba8e-ddacd988ecf8","1c37b342-821a-4b28-9e51-db131e84f780","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-054","Combined Variance","Opposing signals create abnormal effective rate","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-055","Combined Variance","Higher bill with lower paid commission","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","42bc2596-04aa-4fb4-b9e2-64c507e0ab03","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-056","Data Quality","Distributor and vendor match but secondary metadata sparse","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-057","Data Quality","Primary fields match but one secondary ID differs","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-058","Data Quality","Standard fields weak, Additional Information field confirms schedule","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-059","Data Quality","Names differ but stronger IDs align","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-060","Data Quality","Friendly account name differs while IDs align","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-061","Data Quality","Product naming differs between carrier and schedule","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-062","Data Quality","Service ID absent on deposit but other metadata supports match","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-063","Data Quality","Location missing but customer/order data aligns","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-064","Data Quality","Other order ID absent but service and account align","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-065","Data Quality","Customer ID absent from schedule/deposit pair","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-066","Data Quality","Custom metadata mostly aligns with one conflicting value","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-067","Data Quality","Only primary fields plus dollar pattern make sense","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-068","Matching Conflict","Deposit could map to more than one valid schedule set","ui-review","not-recorded","scenario-proof","","browser-live","tc04-conflict-set","e70b304d-a4ab-4367-a983-3040460cbb1e","3efe948b-cc82-4c21-94f4-b0b9e5a4195a","5a72fad8-2ad0-4adf-8732-ffb4894e421f|c5bacc78-363b-470f-a4ab-1b211184b02f|518caafd-7d8e-4794-83a1-1e50e3468583|1e3f1193-b23c-4e32-bf0a-adb687ce87fc","",""
"RS-069","Matching Conflict","Two schedules look almost identical for same deposit line","ui-review","not-recorded","scenario-proof","","browser-live","tc03-dual-candidate-review","347dd9cf-7111-407b-8b3a-328a642fddd3","56742e01-8c59-4aba-9562-c00561873d78","54ce5402-0294-4337-b612-c514ad28865a|7192635a-363e-4ee7-8f03-706686ea6f3e","",""
"RS-070","Matching Conflict","Part of deposit cannot be assigned after best match","ui-review","not-recorded","scenario-proof","","browser-live","generic-partial-review","699a0e77-69d6-485c-ba8e-ddacd988ecf8","1c37b342-821a-4b28-9e51-db131e84f780","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-071","Matching Conflict","Applying deposit across schedules would exceed received totals","ui-review","not-recorded","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-072","Matching Conflict","Not all deposit lines needed but some still selected","needs-clarification","not-recorded","runtime-path-validation","","browser-live","generic-mto1-combined-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-073","Matching Conflict","No schedules satisfy metadata and amount expectations","ui-review","not-recorded","scenario-proof","","browser-live","generic-none-no-candidates","da05d86d-8697-47a9-bffe-60981757ab95","70905f35-f273-47a0-979c-d53b6df3badf","","",""
"RS-074","Matching Conflict","Bundle deposit appears but only some products exist as schedules","ui-review","not-recorded","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-075","Matching Conflict","Multiple lines appear to belong to one opp but different products","needs-clarification","not-recorded","runtime-path-validation","","browser-live","generic-mto1-combined-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-076","Matching Conflict","Names align but deal-specific IDs point elsewhere","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-077","Matching Conflict","One line may apply to several product types under same account","ui-review","not-recorded","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-078","Carrier Issues","Carrier pays prior month in current file","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-079","Carrier Issues","Carrier prepays earlier than expected","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-080","Carrier Issues","Standard line includes unexpected extra commission","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","42bc2596-04aa-4fb4-b9e2-64c507e0ab03","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-081","Carrier Issues","Current line reduced by prior-period chargeback","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","0b3d997c-1fa2-4ec4-b3ef-fb9c55d435b1","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-082","Carrier Issues","Metadata aged but IDs and amounts fit","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-083","Carrier Issues","Customer name text wrong but unique IDs right","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-084","Carrier Issues","Carrier pays a line that should no longer be active","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-085","Carrier Issues","Deposit line contains only vendor/distributor and dollars","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-086","Carrier Issues","Actual rate includes extra decimal precision before rounding","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","c51b5f32-666f-4ccc-9069-56ba50bdec17","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-087","Carrier Issues","Actual commission not tied proportionally to usage","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-088","System Edge Cases","Commission off by $0.01 high","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","c51b5f32-666f-4ccc-9069-56ba50bdec17","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-089","System Edge Cases","Commission off by $0.01 low","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","c51b5f32-666f-4ccc-9069-56ba50bdec17","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-090","System Edge Cases","Split leaves one-cent remainder","deterministic","not-recorded","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-091","System Edge Cases","Aggregated lines create cent residual","needs-clarification","not-recorded","runtime-path-validation","","browser-live","generic-mto1-combined-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-092","System Edge Cases","Actual derived rate rounds to expected after 2 decimals","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","c51b5f32-666f-4ccc-9069-56ba50bdec17","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-093","System Edge Cases","Actual derived rate rounds below expected at 2 decimals","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","fe5e4fe1-d816-4826-ba7f-5dcc73e4e83e","098200f0-c427-4e12-92d5-1c398263f851","",""
